Date,Price,Open,High,Low,Vol.,Change %
2021-12-03,2,2,2,2,0.00K,0.00%
2021-12-01,2,2,2,2,0.30K,0.00%
2021-11-29,2,2,2,2,0.01K,0.00%
2021-11-26,2,2,2,2,0.03K,0.00%
2021-11-25,2,2,2,2,0.20K,0.00%
2021-11-24,2,2,2,2,0.22K,0.00%
2021-11-23,2,2,2,2,0.02K,0.00%
2021-11-19,2,2,2,2,0.68K,0.00%
2021-11-18,2,2,2,2,0.27K,0.00%
2021-11-17,2,2,2,2,0.13K,0.00%
2021-11-16,2,2,2,2,0.29K,0.00%
2021-11-12,2,2,2,2,0.43K,0.00%
2021-11-09,2,2,2,2,0.35K,0.00%
2021-11-08,2,2,2,2,0.20K,0.00%
2021-11-05,2,2,2,2,0.02K,0.00%
2021-11-04,2,2,2,2,0.00K,0.00%
2021-10-28,2,2,2,2,0.28K,0.00%
2021-10-27,2,2,2,2,0.02K,0.00%
2021-10-26,2,2,2,2,0.08K,0.00%
2021-10-25,2,2,2,2,0.28K,0.00%
2021-10-21,2,2,2,2,0.01K,0.00%
2021-10-20,2,2,2,2,0.00K,0.00%
2021-10-19,2,2,2,2,0.51K,0.00%
2021-10-18,2,2,2,2,0.00K,0.00%
2021-10-11,2,2,2,2,0.01K,0.00%
2021-10-06,2,2,2,2,0.01K,0.00%
2021-09-29,2,2,2,2,0.34K,-100.00%
2021-09-28,2200000,2200000,2200000,2200000,0.00K,0.00%
2021-09-27,2200000,2200000,2200000,2200000,0.00K,10.00%
2021-09-24,1999999,1999999,1999999,1999999,0.06K,0.00%
2021-09-23,1999999,1999999,1999999,1999999,2.84K,0.00%
2021-09-22,1999999,1999999,1999999,1999999,0.01K,-0.16%
2021-09-21,2003291,2083333,2083333,1999999,0.30K,-5.71%
2021-09-20,2124583,2165833,2165833,2083333,0.01K,1.98%
2021-09-17,2083333,2083333,2083333,2083333,0.02K,4.26%
2021-09-16,1998299,1916666,1999999,1916666,0.12K,-0.09%
2021-09-15,1999999,1999999,1999999,1999999,0.24K,0.00%
2021-09-14,1999999,1999999,1999999,1999999,0.01K,0.00%
2021-09-13,1999999,1999999,1999999,1999999,0.23K,0.00%
2021-09-10,1999999,1999999,1999999,1999999,0.33K,1.67%
2021-09-09,1967083,2239166,2239166,1958333,1.22K,-12.18%
2021-09-08,2240024,2248333,2248333,2239166,0.13K,-0.44%
2021-09-07,2249999,2249999,2249999,2249999,0.00K,-6.90%
2021-09-06,2416666,2416666,2416666,2416666,0.00K,1.59%
2021-09-01,2378808,2291666,2444166,2291666,0.01K,-2.71%
2021-08-31,2444999,2444999,2444999,2444999,0.00K,5.83%
2021-08-26,2310299,2415832,2415832,2249999,0.01K,2.68%
2021-08-25,2249999,2249999,2249999,2249999,0.11K,-0.07%
2021-08-24,2251641,2249999,2415832,2249999,0.12K,5.80%
2021-08-23,2128149,2115816,2415832,2115816,0.09K,1.48%
2021-08-20,2097091,2115824,2115824,2083333,0.48K,2.44%
2021-08-19,2047149,2045833,2115824,2045833,0.47K,1.47%
2021-08-17,2017458,1991666,2041666,1991666,0.16K,0.72%
2021-08-13,2002958,1999999,2037499,1999999,0.05K,-0.05%
2021-08-12,2003924,2033333,2033333,1999999,0.02K,-0.18%
2021-08-11,2007474,2115749,2115749,2000008,0.26K,-5.12%
2021-08-10,2115833,2115833,2115833,2115833,0.19K,-1.93%
2021-08-09,2157499,2157499,2157499,2157499,0.29K,-0.19%
2021-08-04,2161666,2161666,2161666,2161666,0.08K,-0.19%
2021-08-03,2165791,2165833,2165833,2164166,0.05K,0.00%
2021-08-02,2165833,2165833,2165833,2165833,0.01K,0.00%
2021-07-30,2165833,2165833,2165833,2165833,0.00K,8.07%
2021-07-28,2004058,2008333,2009166,1999999,0.11K,-0.21%
2021-07-27,2008333,2008333,2008333,2008333,0.08K,-0.17%
2021-07-26,2011733,2218333,2218333,2008333,0.30K,-9.31%
2021-07-23,2218333,2218333,2218333,2218333,0.04K,2.42%
2021-07-20,2165833,2165833,2165833,2165833,0.01K,0.00%
2021-07-19,2165833,2165833,2165833,2165833,0.00K,6.09%
2021-07-15,2041458,1999999,2165833,1999999,0.00K,2.20%
2021-07-14,1997549,1995833,1999999,1995833,2.84K,-0.12%
2021-07-13,1999999,1999999,1999999,1999999,0.01K,-0.41%
2021-07-12,2008333,2008333,2008333,2008324,0.08K,0.39%
2021-07-09,2000499,1999999,2008333,1999999,0.20K,-0.21%
2021-07-08,2004749,2407499,2407499,1999999,0.89K,-19.81%
2021-07-02,2499999,2499999,2499999,2499999,0.02K,0.00%
2021-07-01,2499999,2499999,2499999,2499999,0.00K,27.23%
2021-06-30,1964883,2249166,2249166,1917499,0.18K,-12.64%
2021-06-29,2249166,2249166,2249166,2249166,0.00K,0.00%
2021-06-25,2249166,2249166,2249166,2249166,0.08K,19.96%
2021-06-22,1874999,1874999,1874999,1874999,0.46K,0.00%
2021-06-21,1874999,1874999,1874999,1874999,0.57K,-0.17%
2021-06-18,1878258,1879999,1879999,1874999,0.09K,-0.51%
2021-06-15,1887874,2116666,2116666,1875833,0.02K,-15.15%
2021-06-11,2224991,2224991,2224991,2224991,0.23K,0.00%
2021-06-09,2224999,2224999,2224999,2224999,0.00K,0.00%
