Date,Price,Open,High,Low,Vol.,Change %
2021-09-27,22880.00,20500.00,23000.00,20500.00,2.32K,11.61%
2021-09-24,20500.00,19800.00,21000.00,19800.00,147.27K,6.00%
2021-09-23,19340.00,20400.00,20400.00,19050.00,22.51K,-3.06%
2021-09-22,19950.00,20000.00,20000.00,19750.00,10.52M,-0.94%
2021-09-21,20140.00,20500.00,20500.00,19250.00,989.89K,-2.94%
2021-09-20,20750.00,21390.00,21390.00,20000.00,110.87K,-2.76%
2021-09-17,21340.00,21500.00,21500.00,21000.00,309.55K,-0.51%
2021-09-16,21450.00,21500.00,21500.00,21090.00,19.01K,-0.05%
2021-09-15,21460.00,21500.00,21500.00,21400.00,34.78K,1.66%
2021-09-14,21110.00,21800.00,21800.00,21000.00,63.85K,-3.17%
2021-09-13,21800.00,22000.00,22000.00,21020.00,29.82M,0.05%
2021-09-10,21790.00,22000.00,22000.00,21250.00,27.34K,-0.64%
2021-09-09,21930.00,21530.00,22000.00,21530.00,36.73M,3.05%
2021-09-08,21280.00,21000.00,21990.00,21000.00,281.50K,1.09%
2021-09-07,21050.00,20000.00,22000.00,20000.00,73.96K,-7.59%
2021-09-06,22780.00,22990.00,22990.00,22000.00,115.16K,-0.78%
2021-09-03,22960.00,22800.00,22990.00,22800.00,88.69K,1.64%
2021-09-02,22590.00,23010.00,23010.00,22000.00,22.40K,2.22%
2021-09-01,22100.00,23000.00,23000.00,22000.00,89.91K,0.45%
2021-08-31,22000.00,25000.00,25000.00,21500.00,59.49M,-4.31%
2021-08-30,22990.00,23100.00,24500.00,21000.00,55.11M,-1.33%
2021-08-27,23300.00,23750.00,23750.00,23000.00,55.74M,1.97%
2021-08-26,22850.00,23980.00,23980.00,22500.00,56.18M,-5.46%
2021-08-25,24170.00,24000.00,24900.00,23950.00,54.93M,4.00%
2021-08-24,23240.00,25000.00,25000.00,23000.00,233.64K,-7.04%
2021-08-23,25000.00,25490.00,25490.00,24950.00,107.33K,0.12%
2021-08-20,24970.00,24500.00,25000.00,24490.00,3.07M,11.32%
2021-08-19,22430.00,22000.00,24500.00,21990.00,297.25K,4.67%
2021-08-18,21430.00,21480.00,21500.00,20510.00,166.12K,-0.28%
2021-08-17,21490.00,21500.00,21500.00,21100.00,13.03K,-0.09%
2021-08-16,21510.00,21500.00,21990.00,21500.00,74.77K,0.42%
2021-08-13,21420.00,22000.00,22000.00,21000.00,120.41K,0.23%
