Date,Price,Open,High,Low,Vol.,Change %
2021-09-29,0.00,0.00,0.00,0.00,79.00K,0.00%
2021-09-28,0.00,0.00,0.00,0.00,84.02K,-100.00%
2021-09-27,590.00,600.00,600.00,590.00,194.98K,0.00%
2021-09-24,590.00,580.00,640.00,580.00,66.83K,0.00%
2021-09-23,590.00,590.00,590.00,560.00,4.34M,1.72%
2021-09-22,580.00,580.00,580.00,580.00,49.90K,0.00%
2021-09-21,580.00,580.00,600.00,580.00,749.21K,0.00%
2021-09-20,580.00,600.00,600.00,580.00,74.71K,0.00%
2021-09-17,580.00,580.00,580.00,580.00,144.14K,1.75%
2021-09-16,570.00,570.00,580.00,570.00,17.29K,-1.72%
2021-09-15,580.00,580.00,580.00,570.00,52.90K,0.00%
2021-09-14,580.00,580.00,580.00,560.00,11.49K,0.00%
2021-09-13,580.00,570.00,580.00,570.00,36.08K,0.00%
2021-09-10,580.00,580.00,580.00,580.00,361.66K,0.00%
2021-09-09,580.00,580.00,590.00,550.00,287.98K,0.00%
2021-09-08,580.00,580.00,580.00,490.00,50.77K,0.00%
2021-09-07,580.00,580.00,580.00,580.00,50.91K,3.57%
2021-09-06,560.00,590.00,590.00,490.00,16.59K,-5.08%
2021-09-03,590.00,590.00,590.00,580.00,121.91K,0.00%
2021-09-02,590.00,590.00,590.00,590.00,34.21K,0.00%
2021-09-01,590.00,620.00,620.00,570.00,279.61K,0.00%
2021-08-31,590.00,590.00,590.00,590.00,4.49K,0.00%
2021-08-30,590.00,590.00,590.00,590.00,45.09K,-1.67%
2021-08-27,600.00,590.00,620.00,590.00,10.74K,1.69%
2021-08-26,590.00,600.00,600.00,590.00,361.04K,-1.67%
2021-08-25,600.00,600.00,630.00,500.00,59.30K,1.69%
2021-08-24,590.00,590.00,610.00,580.00,319.83K,-1.67%
2021-08-23,600.00,600.00,600.00,590.00,61.57K,-1.64%
2021-08-20,610.00,620.00,620.00,600.00,21.47K,0.00%
2021-08-19,610.00,610.00,620.00,610.00,34.31K,15.09%
2021-08-18,530.00,530.00,530.00,530.00,73.04K,0.00%
2021-08-17,530.00,530.00,530.00,530.00,26.96K,0.00%
