"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","2","2","2","2","46.62K","0.00%"
"Dec 02, 2021","2","2","2","2","2.41K","0.00%"
"Dec 01, 2021","2","2","2","2","3.46K","0.00%"
"Nov 30, 2021","2","2","2","2","0.29K","0.00%"
"Nov 29, 2021","2","2","2","2","19.30K","0.00%"
"Nov 26, 2021","2","2","2","2","11.09K","0.00%"
"Nov 25, 2021","2","2","2","2","2.91K","0.00%"
"Nov 24, 2021","2","2","2","2","2.14K","0.00%"
"Nov 23, 2021","2","2","2","2","3.54K","0.00%"
"Nov 19, 2021","2","2","2","2","4.26K","0.00%"
"Nov 18, 2021","2","2","2","2","9.08K","0.00%"
"Nov 17, 2021","2","2","2","2","1.37K","0.00%"
"Nov 16, 2021","2","2","2","2","0.00K","0.00%"
"Nov 15, 2021","2","2","2","2","5.65K","0.00%"
"Nov 12, 2021","2","2","2","2","3.01K","0.00%"
"Nov 11, 2021","2","2","2","2","1.39K","0.00%"
"Nov 10, 2021","2","2","2","2","0.33K","0.00%"
"Nov 09, 2021","2","2","2","2","3.67K","0.00%"
"Nov 08, 2021","2","2","2","2","0.78K","0.00%"
"Oct 29, 2021","2","2","2","2","3.44K","0.00%"
"Oct 28, 2021","2","2","2","2","4.01K","0.00%"
"Oct 27, 2021","2","2","2","2","2.52K","0.00%"
"Oct 26, 2021","2","2","2","2","2.59K","0.00%"
"Oct 25, 2021","2","2","2","2","4.85K","0.00%"
"Oct 22, 2021","2","2","2","2","4.79K","0.00%"
"Oct 21, 2021","2","2","2","2","1.52K","0.00%"
"Oct 20, 2021","2","2","2","2","24.16K","0.00%"
"Oct 19, 2021","2","2","2","2","2.10K","0.00%"
"Oct 18, 2021","2","2","2","2","0.13K","0.00%"
"Oct 15, 2021","2","2","2","2","6.86K","0.00%"
"Oct 14, 2021","2","2","2","2","2.38K","0.00%"
"Oct 13, 2021","2","2","2","2","4.07K","0.00%"
"Oct 11, 2021","2","2","2","2","1.40K","0.00%"
"Oct 08, 2021","2","2","2","2","0.06K","0.00%"
"Oct 07, 2021","2","2","2","2","3.41K","0.00%"
"Oct 06, 2021","2","2","2","2","7.55K","0.00%"
"Oct 05, 2021","2","2","2","2","1.25K","0.00%"
"Oct 04, 2021","2","2","2","2","0.18K","0.00%"
"Sep 28, 2021","2","2","2","2","0.01K","0.00%"
"Sep 27, 2021","2","2","2","2","7.50K","0.00%"
"Sep 24, 2021","2","2","2","2","22.06K","0.00%"
"Sep 23, 2021","2","2","2","2","102.32K","0.00%"
"Sep 22, 2021","2","2","2","2","0.83K","0.00%"
"Sep 21, 2021","2","2","2","2","1.54K","0.00%"
"Sep 20, 2021","2","2","2","2","0.71K","0.00%"
"Sep 17, 2021","2","2","2","2","5.06K","0.00%"
"Sep 16, 2021","2","2","2","2","0.05K","0.00%"
"Sep 15, 2021","2","2","2","2","1.05K","0.00%"
"Sep 14, 2021","2","2","2","2","1.38K","0.00%"
"Sep 13, 2021","2","2","2","2","3.33K","0.00%"
"Sep 10, 2021","2","2","2","2","0.26K","0.00%"
"Sep 09, 2021","2","2","2","2","0.77K","0.00%"
"Sep 08, 2021","2","2","2","2","1.75K","0.00%"
"Sep 07, 2021","2","2","2","2","3.66K","0.00%"
"Sep 06, 2021","2","2","2","2","1.04K","0.00%"
"Sep 03, 2021","2","2","2","2","0.01K","0.00%"
"Sep 02, 2021","2","2","2","2","0.52K","0.00%"
"Sep 01, 2021","2","2","2","2","0.10K","0.00%"
"Aug 31, 2021","2","2","2","2","1.31K","0.00%"
"Aug 30, 2021","2","2","2","2","1.76K","0.00%"
"Aug 27, 2021","2","2","2","2","1.00K","0.00%"
"Aug 26, 2021","2","2","2","2","1.18K","0.00%"
"Aug 25, 2021","2","2","2","2","3.21K","0.00%"
"Aug 24, 2021","2","2","2","2","2.14K","0.00%"
"Aug 23, 2021","2","2","2","2","2.03K","0.00%"
"Aug 20, 2021","2","2","2","2","1.07K","0.00%"
"Aug 19, 2021","2","2","2","2","2.98K","0.00%"
"Aug 18, 2021","2","2","2","2","1.38K","0.00%"
"Aug 17, 2021","2","2","2","2","0.86K","0.00%"
"Aug 16, 2021","2","2","2","2","2.60K","0.00%"
"Aug 13, 2021","2","2","2","2","0.24K","0.00%"
"Aug 12, 2021","2","2","2","2","0.66K","0.00%"
"Aug 11, 2021","2","2","2","2","0.35K","0.00%"
"Aug 10, 2021","2","2","2","2","3.65K","0.00%"
"Aug 09, 2021","2","2","2","2","3.13K","0.00%"
"Aug 06, 2021","2","2","2","2","1.65K","0.00%"
"Aug 05, 2021","2","2","2","2","0.03K","0.00%"
"Aug 04, 2021","2","2","2","2","1.31K","0.00%"
"Aug 03, 2021","2","2","2","2","1.14K","0.00%"
"Aug 02, 2021","2","2","2","2","1.07K","0.00%"
"Jul 30, 2021","2","2","2","2","0.90K","0.00%"
"Jul 29, 2021","2","2","2","2","0.81K","0.00%"
"Jul 28, 2021","2","2","2","2","1.73K","0.00%"
"Jul 27, 2021","2","2","2","2","0.97K","0.00%"
"Jul 26, 2021","2","2","2","2","0.09K","0.00%"
"Jul 23, 2021","2","2","2","2","0.65K","0.00%"
"Jul 22, 2021","2","2","2","2","4.05K","0.00%"
"Jul 21, 2021","2","2","2","2","1.53K","0.00%"
