Date,Price,Open,High,Low,Vol.,Change %
2013-03-26,175,175,175,175,1.84K,0.00%
2013-04-01,178,179,179,178,0.12K,1.63%
2013-04-02,176,176,176,176,0.69K,-1.11%
2013-04-03,178,178,178,178,0.26K,0.99%
2013-04-04,178,178,178,178,2.01K,0.00%
2013-04-05,178,178,178,178,0.01K,0.00%
2013-04-08,178,178,178,177,6.96K,0.00%
2013-04-09,178,178,179,178,5.39K,0.00%
2013-04-10,178,179,179,178,2.59K,0.00%
2013-04-11,178,178,178,178,6.73K,0.00%
2013-04-12,178,178,178,178,4.31K,0.00%
2013-04-15,179,178,179,178,3.99K,0.62%
2013-04-18,180,180,180,180,0.60K,0.48%
2013-04-22,182,180,182,179,0.98K,0.97%
2013-04-25,182,191,191,191,0.00K,0.00%
2013-04-29,184,184,184,184,1.67K,0.86%
2013-04-30,193,193,193,193,1.49K,5.05%
2013-05-02,191,191,191,191,0.31K,-0.96%
2013-05-03,193,193,193,193,13.42K,0.97%
2013-05-06,194,193,194,193,2.76K,0.48%
2013-05-07,194,194,194,194,3.95K,0.00%
2013-05-08,195,193,195,193,4.22K,0.48%
2013-05-09,196,195,196,195,1.99K,0.48%
2013-05-10,199,196,199,196,1.66K,1.90%
2013-05-14,209,209,209,209,4.87K,4.65%
2013-05-16,223,223,223,223,0.02K,6.67%
2013-05-17,223,223,223,223,0.05K,0.00%
2013-05-20,232,232,232,232,0.93K,4.17%
2013-05-21,227,241,241,227,0.08K,-2.00%
2013-05-22,233,230,233,230,1.09K,2.45%
2013-05-23,241,238,241,238,0.89K,3.59%
2013-05-24,256,241,256,241,0.24K,6.15%
2013-05-27,256,256,256,256,0.75K,0.00%
2013-05-28,260,256,260,256,0.59K,1.54%
2013-05-29,257,256,258,256,3.44K,-0.89%
2013-05-30,258,258,258,255,0.26K,0.00%
2013-05-31,255,255,255,250,0.04K,-1.08%
2013-06-04,250,250,250,250,3.00K,-1.82%
2013-06-05,250,250,250,250,0.85K,0.00%
2013-06-06,250,250,250,250,0.18K,0.00%
2013-06-07,250,250,250,250,1.79K,0.00%
2013-06-10,252,250,252,250,5.07K,0.74%
2013-06-11,253,252,254,252,1.72K,0.37%
2013-06-12,253,253,253,253,0.25K,0.00%
2013-06-13,260,253,271,253,2.06K,2.57%
2013-06-14,260,255,260,255,11.00K,0.00%
2013-06-17,269,269,269,269,0.12K,3.57%
2013-06-18,269,268,270,268,2.04K,0.00%
2013-06-19,269,270,270,269,2.28K,0.00%
2013-06-20,272,271,272,271,1.10K,1.04%
2013-06-21,278,278,278,278,0.91K,2.38%
2013-06-25,278,278,278,278,0.50K,0.00%
2013-06-26,296,283,296,283,0.35K,6.34%
2013-06-27,315,297,315,297,0.69K,6.58%
2013-06-28,334,315,334,315,3.03K,5.88%
2013-07-01,351,350,351,350,0.20K,5.00%
2013-07-02,348,351,351,348,11.17K,-0.79%
2013-07-04,352,348,352,348,3.28K,1.33%
2013-07-08,351,351,351,351,1.00K,-0.53%
2013-07-09,357,351,357,351,4.03K,1.72%
2013-07-10,357,354,366,354,1.20K,0.00%
2013-07-11,366,366,366,366,0.07K,2.60%
2013-07-12,364,366,366,364,3.04K,-0.76%
2013-07-15,366,364,366,364,0.71K,0.77%
2013-07-16,364,362,364,362,9.04K,-0.76%
2013-07-17,362,364,364,357,10.01K,-0.51%
2013-07-18,362,362,362,362,0.04K,0.00%
2013-07-19,362,366,366,362,30.01K,0.00%
2013-07-22,357,357,357,357,1.04K,-1.28%
2013-07-23,366,366,367,366,6.00K,2.60%
2013-07-25,364,366,366,364,28.96K,-0.51%
2013-07-26,365,364,365,364,6.42K,0.00%
2013-07-29,365,365,365,365,1.08K,0.00%
2013-07-30,365,367,367,365,56.06K,0.00%
2013-08-01,367,367,367,367,3.54K,0.46%
2013-08-05,368,368,368,368,2.20K,0.30%
2013-08-07,368,368,368,368,0.50K,0.00%
2013-08-08,369,368,369,368,0.55K,0.00%
2013-08-13,369,369,369,369,60.47K,0.00%
2013-08-14,369,369,369,369,0.18K,0.00%
2013-08-15,368,369,369,368,0.96K,-0.25%
2013-08-20,369,368,369,368,1.00K,0.25%
2013-08-21,369,357,369,357,0.19K,0.00%
2013-08-22,357,357,357,357,0.02K,-3.27%
2013-08-23,362,362,362,362,0.02K,1.30%
