Date,Price,Open,High,Low,Vol.,Change %
2021-09-29,0,0,0,0,26.40K,0.00%
2021-09-28,0,0,0,0,530.08K,-100.00%
2021-09-27,284060,282010,294500,282000,26.23K,-0.82%
2021-09-24,286420,300000,300000,280010,20.89K,1.87%
2021-09-23,281160,286000,300000,280000,114.42K,-2.23%
2021-09-22,287580,300000,307000,285000,13.75K,-6.62%
2021-09-21,307980,316990,317000,298000,7.59K,-3.52%
2021-09-20,319230,320000,320000,315000,1.18K,-1.17%
2021-09-17,323000,325000,327000,320000,4.45K,-1.81%
2021-09-16,328940,330000,330000,320000,6.94K,0.58%
2021-09-15,327030,330000,330000,320000,12.71K,0.54%
2021-09-14,325270,334800,334800,325000,1.92K,-3.04%
2021-09-13,335460,339990,339990,330000,250.84K,-1.34%
2021-09-10,340000,340000,340000,339990,24.30K,0.73%
2021-09-09,337550,340000,340000,335000,5.44K,0.46%
2021-09-08,335990,355000,355000,330000,11.99K,-6.67%
2021-09-07,360000,360000,360000,360000,11.62K,-0.10%
2021-09-06,360350,361000,361000,360000,0.15K,-0.17%
2021-09-03,360970,360000,365000,360000,0.24K,0.36%
2021-09-02,359690,350010,360000,350010,7.99K,2.77%
2021-09-01,350000,350000,350000,349980,24.35K,4.39%
2021-08-31,335280,364000,364000,330000,465.76K,-7.68%
2021-08-30,363190,370000,370000,355000,45.96K,-1.93%
2021-08-27,370330,376000,378490,369000,35.18K,-2.15%
2021-08-26,378460,378500,378500,376010,131.58K,-0.12%
2021-08-25,378900,379000,379000,378500,43.37K,0.49%
2021-08-24,377060,380000,380000,375000,17.53K,-0.77%
2021-08-23,379970,389000,389000,379000,28.18K,-3.07%
2021-08-20,392010,400000,400000,388020,164.85K,1.60%
2021-08-19,385820,389000,400000,385000,88.15K,0.83%
2021-08-18,382660,389000,389000,380000,11.29K,-0.61%
2021-08-17,385020,389000,390000,380000,7.24K,-0.25%
2021-08-16,386000,380000,395000,380000,9.56K,1.57%
2021-08-13,380020,380000,384990,380000,26.12K,0.02%
2021-08-12,379960,380000,380000,375000,14.30K,-0.04%
2021-08-11,380100,380000,384500,380000,51.68K,-0.74%
2021-08-10,382940,389990,389990,379990,27.14K,-1.83%
2021-08-09,390090,394000,394000,385000,0.90K,-1.21%
2021-08-06,394860,395000,395000,394000,10.62K,-0.58%
2021-08-05,397160,395000,398500,395000,14.57K,0.36%
2021-08-04,395720,398000,398000,395000,10.59K,-0.52%
2021-08-03,397790,398500,398500,390000,31.63K,-0.16%
2021-08-02,398440,398500,398500,398000,1.94K,-0.15%
2021-07-30,399050,405000,405000,398930,521.14K,4.37%
2021-07-29,382330,398900,398900,380000,82.37K,-2.67%
2021-07-28,392820,400990,400990,379990,39.94K,-3.98%
2021-07-27,409110,410000,410000,401600,115.41K,-0.22%
2021-07-26,410000,410000,410000,410000,56.29K,-1.98%
2021-07-23,418290,391000,430000,391000,82.88K,7.81%
2021-07-22,388000,388000,395000,388000,185.61K,-0.01%
2021-07-21,388040,388000,393000,388000,20.97K,2.94%
2021-07-20,376940,390000,390000,370000,96.06K,-4.33%
2021-07-19,394020,394900,394900,392480,1.19K,-1.26%
2021-07-16,399040,412000,412000,394900,294.28K,12.53%
2021-07-15,354620,344500,394990,344500,66.67K,2.97%
2021-07-14,344400,345000,345000,340000,109.13K,4.34%
2021-07-13,330090,330000,334000,330000,34.21K,-1.47%
2021-07-12,335020,336000,336000,332000,8.73K,-2.29%
2021-07-09,342860,350000,363990,331000,55.44K,-2.74%
2021-07-08,352520,365000,365000,350000,1.45K,-9.09%
2021-07-07,387760,389000,389000,374990,74.95K,-0.52%
2021-07-06,389780,390000,390000,389000,432.70K,-1.14%
2021-07-02,394260,405000,405000,389990,2.30K,-1.46%
2021-07-01,400120,406900,406900,399990,86.60K,6.04%
2021-06-30,377340,355000,407000,350000,23.15K,8.58%
2021-06-29,347530,350000,400000,340000,85.02K,2.40%
2021-06-25,339390,338000,370000,338000,46.54K,0.60%
2021-06-23,337350,370000,370000,330000,196.44K,-0.45%
2021-06-22,338880,339990,339990,338000,43.48K,-4.83%
2021-06-21,356060,369500,369500,338000,14.96K,-3.75%
2021-06-18,369940,369900,375000,369900,33.73K,-0.01%
2021-06-17,369970,374490,374500,369900,5.72K,6.25%
2021-06-16,348200,343500,375000,343500,23.24K,6.05%
2021-06-15,328350,344800,344800,315000,11.77K,-4.03%
