"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2021","1","1","1","1","0.14K","0.00%"
"Sep 28, 2021","1","1","1","1","0.52K","-100.00%"
"Sep 27, 2021","516,820","495,000","519,000","495,000","0.03K","5.40%"
"Sep 24, 2021","490,330","500,000","500,000","490,000","1.25K","-3.38%"
"Sep 23, 2021","507,500","510,000","510,000","500,000","39.41K","5.51%"
"Sep 22, 2021","481,000","481,000","481,000","481,000","0.24K","-1.16%"
"Sep 21, 2021","486,650","490,000","492,000","480,000","2.48K","-0.76%"
"Sep 20, 2021","490,390","496,000","496,000","490,000","0.41K","-0.12%"
"Sep 17, 2021","491,000","483,000","500,000","483,000","0.02K","1.87%"
"Sep 16, 2021","482,000","482,000","482,000","482,000","0.15K","0.42%"
"Sep 15, 2021","480,000","480,000","480,010","480,000","0.48K","-2.81%"
"Sep 14, 2021","493,900","497,900","500,000","480,000","3.27K","5.56%"
"Sep 13, 2021","467,880","469,000","470,000","465,000","2.97K","2.61%"
"Sep 10, 2021","456,000","456,000","456,000","456,000","0.02K","0.66%"
"Sep 09, 2021","453,010","472,000","472,000","450,000","1.02K","-4.56%"
"Sep 08, 2021","474,660","480,000","480,000","473,990","0.26K","-4.80%"
"Sep 07, 2021","498,600","500,000","500,000","475,000","0.64K","-7.23%"
"Sep 06, 2021","537,430","500,010","549,900","500,010","0.03K","7.49%"
"Sep 03, 2021","500,000","500,000","500,000","500,000","0.46K","-11.08%"
"Sep 02, 2021","562,290","564,000","564,000","558,000","0.01K","6.91%"
"Sep 01, 2021","525,950","479,000","565,500","479,000","0.04K","9.80%"
"Aug 31, 2021","479,000","479,000","479,000","479,000","0.89K","-0.03%"
"Aug 27, 2021","479,140","480,000","480,000","478,900","3.14K","-0.69%"
"Aug 26, 2021","482,460","495,000","495,000","480,000","0.77K","-3.12%"
"Aug 25, 2021","498,000","498,000","498,000","497,990","0.23K","-0.36%"
"Aug 24, 2021","499,790","500,000","500,000","499,000","1.27K","-9.21%"
"Aug 23, 2021","550,500","567,000","567,000","548,000","0.20K","-3.26%"
"Aug 20, 2021","569,030","572,000","572,000","569,000","0.30K","13.20%"
"Aug 19, 2021","502,680","498,000","572,000","498,000","1.62K","0.94%"
"Aug 18, 2021","498,000","498,000","498,000","498,000","1.51K","-0.20%"
"Aug 17, 2021","499,000","499,000","499,000","499,000","0.39K","4.40%"
"Aug 13, 2021","477,970","478,000","478,000","477,000","0.31K","-0.45%"
"Aug 12, 2021","480,110","500,000","500,000","480,000","1.33K","-1.35%"
"Aug 11, 2021","486,670","500,000","500,000","480,000","0.02K","10.76%"
"Aug 10, 2021","439,400","421,000","500,000","421,000","1.34K","-12.12%"
"Aug 09, 2021","500,000","500,000","500,000","500,000","0.30K","3.50%"
"Aug 06, 2021","483,080","471,000","500,000","471,000","0.01K","3.89%"
"Aug 05, 2021","465,000","465,000","465,000","465,000","0.17K","1.89%"
"Aug 04, 2021","456,370","456,000","465,000","456,000","0.17K","4.72%"
"Aug 03, 2021","435,820","435,000","456,000","435,000","0.80K","0.19%"
"Jul 30, 2021","435,000","435,000","435,000","435,000","0.00K","0.00%"
"Jul 29, 2021","435,000","435,000","435,000","435,000","39.49K","1.16%"
"Jul 28, 2021","430,000","430,000","430,000","430,000","0.00K","-1.11%"
"Jul 27, 2021","434,830","455,000","455,000","430,000","0.27K","-3.77%"
"Jul 26, 2021","451,870","454,990","455,000","430,000","0.04K","12.28%"
"Jul 23, 2021","402,450","400,000","455,000","400,000","0.31K","-11.55%"
"Jul 22, 2021","454,990","454,990","454,990","454,990","0.02K","-0.00%"
"Jul 21, 2021","455,000","455,000","455,000","455,000","0.05K","0.00%"
"Jul 20, 2021","455,000","455,000","455,000","455,000","0.03K","0.00%"
"Jul 19, 2021","455,000","455,000","455,000","455,000","0.40K","2.25%"
"Jul 16, 2021","445,000","445,000","445,000","445,000","0.03K","0.00%"
"Jul 15, 2021","445,000","445,000","445,000","445,000","1.07K","18.67%"
"Jul 14, 2021","375,000","375,000","375,000","375,000","0.02K","0.00%"
"Jul 12, 2021","375,000","375,000","375,000","375,000","0.01K","0.00%"
"Jul 09, 2021","375,000","375,000","375,000","375,000","0.06K","0.00%"
"Jul 08, 2021","375,000","375,000","375,000","375,000","0.01K","-6.25%"
"Jul 06, 2021","400,000","400,000","400,000","400,000","0.01K","0.00%"
"Jul 02, 2021","400,000","400,000","400,000","400,000","0.00K","-1.90%"
"Jul 01, 2021","407,730","410,000","410,000","400,000","0.02K","-0.55%"
"Jun 30, 2021","410,000","410,000","410,000","410,000","0.11K","-1.37%"
"Jun 25, 2021","415,700","414,990","420,050","414,990","0.05K","-4.00%"
"Jun 23, 2021","433,000","433,000","433,000","433,000","0.00K","4.34%"
"Jun 21, 2021","414,990","414,990","414,990","414,990","0.61K","0.00%"
"Jun 18, 2021","414,980","414,980","414,980","414,980","0.59K","-0.00%"
