date,close,open,high,low,volume,change
2015-03-11,39,39,39,39,0.10K,5.41%
2015-03-18,39,39,39,39,13.73K,0.00%
2015-03-20,40,40,40,40,23.52K,2.56%
2015-03-27,40,40,43,40,47.06K,0.00%
2015-04-08,45,45,45,45,13.23K,12.50%
2015-04-10,46,46,46,46,8.55K,2.22%
2015-04-13,50,50,50,50,1.00K,8.70%
2015-04-16,55,55,55,55,5.00K,10.00%
2015-04-21,52,52,52,52,1.32K,-5.45%
2015-04-23,62,60,62,60,10.25K,19.23%
2015-04-24,62,62,62,62,3.40K,0.00%
2015-04-27,65,65,65,65,0.92K,4.84%
2015-04-28,65,65,65,65,0.25K,0.00%
2015-04-30,65,65,65,65,18.57K,0.00%
2015-05-07,55,55,55,55,4.00K,-15.38%
2015-05-08,64,64,64,64,0.05K,16.36%
2015-05-19,65,64,65,64,12.30K,1.56%
2015-05-20,70,65,70,65,4.57K,7.69%
2015-05-21,70,70,70,70,2.50K,0.00%
2015-05-25,100,80,100,80,8.25K,42.86%
2015-05-26,90,90,90,90,5.00K,-10.00%
2015-05-28,108,100,108,100,6.10K,20.00%
2015-05-29,108,110,110,110,0.02K,0.00%
2015-06-01,110,100,110,100,8.68K,1.85%
2015-06-02,115,115,115,115,0.10K,4.55%
2015-06-03,115,115,115,115,18.32K,0.00%
2015-06-04,120,120,120,120,0.03K,4.35%
2015-06-05,120,120,120,120,0.33K,0.00%
2015-06-09,120,120,120,120,0.28K,0.00%
2015-06-11,100,110,110,100,6.70K,-16.67%
2015-06-12,110,110,110,110,5.42K,10.00%
2015-06-18,88,88,88,88,1.32K,-20.00%
2015-06-22,105,105,105,105,3.19K,19.32%
2015-06-25,105,105,105,105,0.39K,0.00%
2015-06-26,100,100,100,100,5.00K,-4.76%
2015-07-02,100,100,100,100,0.22K,0.00%
2015-07-03,100,100,100,100,0.50K,0.00%
2015-07-06,100,100,100,100,48.48K,0.00%
2015-07-08,110,110,110,110,0.25K,10.00%
2015-07-09,120,120,120,120,10.91K,9.09%
2015-07-10,120,120,144,120,8.33K,0.00%
2015-07-13,130,130,130,130,0.12K,8.33%
2015-07-16,130,125,125,125,0.01K,0.00%
2015-07-17,123,123,123,123,3.79K,-5.38%
2015-07-20,125,125,125,125,6.54K,1.63%
2015-07-21,120,125,125,120,6.38K,-4.00%
2015-07-27,120,120,120,120,10.00K,0.00%
2015-07-28,120,120,120,120,5.00K,0.00%
2015-07-31,100,100,100,100,0.90K,-16.67%
2015-08-03,100,100,110,100,1.78K,0.00%
2015-08-04,110,110,110,110,0.29K,10.00%
2015-08-05,110,110,110,110,3.32K,0.00%
2015-08-07,120,120,120,120,0.05K,9.09%
2015-08-17,115,115,115,115,0.21K,-4.17%
2015-08-20,114,110,115,110,15.07K,-0.87%
2015-08-21,113,113,113,113,0.32K,-0.88%
2015-08-26,115,115,115,115,1.00K,1.77%
2015-08-27,115,115,115,115,4.00K,0.00%
2015-08-31,110,110,110,110,0.27K,-4.35%
2015-09-01,115,113,115,113,2.73K,4.55%
2015-09-02,115,110,115,110,2.02K,0.00%
2015-09-03,110,110,110,110,0.72K,-4.35%
