Date,Price,Open,High,Low,Vol.,Change %
2021-09-27,621440,600010,627000,600000,0.03K,1.27%
2021-09-24,613670,620000,620000,600000,0.06K,-3.33%
2021-09-23,634820,640000,640000,630000,16.65K,-1.03%
2021-09-22,641430,645000,645000,640000,0.04K,-1.32%
2021-09-21,650000,650000,650000,650000,0.05K,-0.76%
2021-09-20,655000,655000,655000,655000,0.01K,0.14%
2021-09-17,654090,650000,659990,650000,0.13K,-2.15%
2021-09-15,668430,669000,669000,665000,0.11K,-0.23%
2021-09-14,669980,669980,669980,669980,0.01K,1.51%
2021-09-13,660010,660010,660010,660000,0.22K,0.14%
2021-09-10,659120,655000,660000,655000,0.09K,0.08%
2021-09-09,658580,700000,700000,655000,0.31K,-0.97%
2021-09-08,665000,665000,665000,665000,0.41K,10.83%
2021-09-06,600000,600000,600000,600000,0.00K,-9.82%
2021-09-03,665320,729000,729000,665000,0.41K,-1.96%
2021-09-02,678620,700000,700000,670000,0.42K,-4.88%
2021-09-01,713460,730000,730000,700000,0.08K,-2.27%
2021-08-31,730000,730000,730000,730000,0.02K,-0.44%
2021-08-30,733200,734000,734000,730000,0.05K,-0.11%
2021-08-27,734000,734000,734000,734000,0.01K,4.47%
2021-08-26,702620,700000,734990,699990,0.13K,0.37%
2021-08-25,700000,700000,700000,700000,0.37K,-2.64%
2021-08-24,718960,735000,735000,700000,0.02K,-0.83%
2021-08-23,725000,725000,725000,725000,0.00K,0.00%
2021-08-20,725000,725000,725000,725000,0.02K,0.00%
2021-08-18,725000,725000,725000,725000,0.11K,0.00%
2021-08-17,725000,725000,725000,725000,0.01K,-0.68%
2021-08-16,730000,730000,730000,730000,0.02K,-1.77%
2021-08-10,743190,700000,838000,700000,0.30K,6.17%
2021-08-09,700000,700000,700000,700000,0.24K,0.00%
2021-08-06,700000,700000,700000,700000,0.35K,1.98%
2021-08-05,686400,650000,700000,650000,0.27K,-1.80%
2021-08-03,699000,699000,699000,699000,0.16K,7.50%
2021-08-02,650210,650000,699000,650000,0.71K,-7.11%
2021-07-29,700000,700000,700000,700000,0.06K,0.00%
2021-07-23,700000,700000,700000,700000,0.25K,0.05%
2021-07-22,699620,699000,700000,699000,0.16K,12.84%
2021-07-21,620000,620000,620000,620000,0.10K,-6.06%
2021-07-20,660000,660000,660000,660000,0.45K,0.00%
2021-07-19,660000,660010,660010,660000,0.21K,-0.20%
2021-07-16,661310,698000,698000,660000,0.03K,1.74%
2021-07-15,650000,650000,650000,650000,0.02K,-6.88%
2021-07-14,698000,698000,698000,698000,16.36K,11.19%
