Date,Price,Open,High,Low,Vol.,Change %
2021-12-03,2,2,2,2,0.00K,0.00%
2021-12-02,2,2,2,2,0.28K,0.00%
2021-12-01,2,2,2,2,0.28K,0.00%
2021-11-26,2,2,2,2,1.69K,0.00%
2021-11-25,2,2,2,2,0.39K,0.00%
2021-11-24,2,2,2,2,0.32K,0.00%
2021-11-23,2,2,2,2,1.19K,0.00%
2021-11-19,2,2,2,2,1.59K,0.00%
2021-11-18,2,2,2,2,0.13K,0.00%
2021-11-17,2,2,2,2,0.09K,0.00%
2021-11-15,2,2,2,2,0.56K,0.00%
2021-11-12,2,2,2,2,7.93K,0.00%
2021-11-11,2,2,2,2,0.01K,0.00%
2021-11-10,2,2,2,2,0.14K,0.00%
2021-11-04,2,2,2,2,0.34K,0.00%
2021-11-03,2,2,2,2,3.54K,0.00%
2021-11-02,2,2,2,2,0.20K,0.00%
2021-10-29,2,2,2,2,3.45K,0.00%
2021-10-27,2,2,2,2,0.77K,0.00%
2021-10-26,2,2,2,2,0.01K,0.00%
2021-10-25,2,2,2,2,0.19K,0.00%
2021-10-20,2,2,2,2,0.28K,0.00%
2021-10-19,2,2,2,2,0.61K,0.00%
2021-10-18,2,2,2,2,0.02K,0.00%
2021-10-15,2,2,2,2,2.44K,0.00%
2021-10-14,2,2,2,2,0.32K,0.00%
2021-10-13,2,2,2,2,0.01K,0.00%
2021-10-11,2,2,2,2,0.08K,0.00%
2021-10-08,2,2,2,2,0.01K,0.00%
2021-09-29,2,2,2,2,0.07K,0.00%
2021-09-28,2,2,2,2,0.01K,-100.00%
2021-09-24,2049990,2049990,2049990,2049990,0.07K,0.00%
2021-09-21,2050000,2050000,2050000,2050000,0.03K,0.00%
2021-09-20,2050000,2050000,2050000,2050000,0.06K,0.00%
2021-09-17,2050000,2050000,2050000,2050000,0.05K,0.00%
2021-09-16,2050000,2050000,2050000,2050000,0.01K,0.00%
2021-09-15,2050000,2050000,2050000,2050000,0.00K,0.00%
2021-09-13,2050000,2050000,2050000,2050000,0.00K,-2.38%
2021-09-10,2100000,2100000,2100000,2100000,10.00K,2.44%
2021-09-08,2050000,2050000,2050000,2050000,0.00K,-2.56%
2021-09-03,2103950,2150000,2150000,2100000,0.11K,0.19%
2021-09-02,2100000,2100000,2100000,2100000,0.49K,0.05%
2021-09-01,2099000,2099000,2099000,2099000,0.01K,-0.04%
2021-08-27,2099830,2099000,2100000,2099000,0.21K,4.99%
2021-08-25,2000000,2000000,2000000,2000000,0.01K,0.59%
2021-08-20,1988330,2000000,2000000,1980000,0.01K,0.42%
2021-08-18,1980000,1980000,1980000,1980000,0.05K,0.00%
2021-08-12,1980000,1980000,1980000,1980000,0.35K,0.00%
2021-08-11,1980000,1980000,1980000,1980000,0.52K,1.02%
2021-08-10,1960000,1960000,1960000,1960000,0.37K,0.00%
2021-08-09,1960000,1960000,1960000,1960000,0.02K,0.26%
2021-08-06,1955000,1955000,1955000,1955000,0.01K,1.83%
2021-08-05,1919780,1900000,1940000,1900000,1.17K,1.04%
2021-08-04,1900000,1900000,1900000,1900000,0.19K,9.20%
2021-08-03,1740000,1740000,1740000,1740000,0.10K,-0.57%
2021-08-02,1750000,1750000,1750000,1750000,0.23K,0.00%
2021-07-29,1750000,1750000,1750000,1750000,66.01K,0.00%
2021-07-27,1750000,1750000,1750000,1750000,0.46K,0.37%
2021-07-26,1743520,1740000,1750000,1740000,0.63K,0.20%
2021-07-23,1740000,1740000,1740000,1740000,0.04K,0.00%
2021-07-22,1740000,1740000,1740000,1740000,1.05K,0.58%
2021-07-20,1730000,1730000,1740000,1730000,0.36K,0.00%
2021-07-19,1730000,1730000,1730000,1730000,0.06K,6.79%
2021-07-16,1620000,1620000,1620000,1620000,371.14K,1.56%
2021-07-15,1595040,1590000,1600000,1590000,0.50K,0.95%
2021-07-14,1580000,1580000,1580000,1580000,0.40K,1.28%
2021-07-13,1560030,1560000,1580000,1560000,1.97K,1.22%
2021-07-12,1541250,1540000,1560000,1540000,1.70K,2.24%
2021-07-09,1507470,1499990,1540000,1499990,0.92K,0.50%
2021-07-08,1500000,1500000,1500000,1500000,0.00K,0.00%
2021-07-07,1500000,1500000,1500000,1500000,0.20K,-5.66%
2021-07-06,1590000,1590000,1590000,1590000,0.40K,5.64%
2021-07-02,1505100,1500000,1590000,1500000,0.35K,-5.34%
2021-07-01,1590000,1590000,1590000,1590000,0.49K,0.00%
2021-06-30,1590000,1590000,1590000,1590000,1.50K,0.00%
2021-06-29,1590000,1590000,1590000,1590000,0.01K,0.00%
2021-06-25,1590000,1590000,1590000,1590000,0.20K,-0.63%
2021-06-22,1600000,1600000,1600000,1600000,0.13K,0.05%
2021-06-21,1599190,1500000,1600000,1500000,0.12K,4.01%
2021-06-18,1537520,1599000,1599000,1500000,0.52K,-3.91%
2021-06-17,1600000,1600000,1600000,1600000,0.00K,-1.84%
2021-06-16,1630000,1630000,1630000,1630000,0.00K,-1.21%
2021-06-11,1650000,1650000,1650000,1650000,0.04K,-0.16%
2021-06-10,1652700,1656800,1656900,1650000,73.48K,-0.25%
2021-06-09,1656900,1656900,1656900,1656900,0.18K,2.23%
2021-06-08,1620710,1620000,1656990,1620000,1.55K,-2.25%
2021-06-07,1658000,1658000,1658000,1658000,0.00K,0.00%
2021-06-04,1658000,1658000,1658000,1658000,0.03K,0.86%
2021-06-03,1643860,1605000,1669000,1600000,0.70K,2.72%
2021-06-02,1600290,1698900,1698900,1600000,1.02K,-5.87%
2021-05-28,1700000,1700000,1700000,1700000,0.00K,-4.49%
2021-05-26,1780000,1780000,1780000,1780000,0.29K,4.71%
2021-05-25,1700000,1700000,1700000,1700000,0.22K,-2.86%
2021-05-21,1750000,1750000,1750000,1750000,0.48K,-0.02%
2021-05-20,1750300,1780000,1780000,1750000,50.50K,0.02%
2021-05-19,1750000,1750000,1750000,1750000,0.15K,0.00%
2021-05-18,1750000,1750000,1750000,1750000,0.00K,2.34%
2021-05-17,1710000,1710000,1710000,1710000,0.35K,0.59%
2021-05-14,1700000,1700000,1700000,1700000,0.01K,0.00%
2021-05-13,1700000,1700000,1700000,1700000,0.04K,3.09%
2021-05-12,1649000,1649000,1649000,1649000,0.07K,-0.06%
2021-05-11,1650000,1650000,1650000,1649980,0.07K,0.00%
2021-05-10,1650000,1650000,1650000,1650000,0.31K,0.08%
2021-05-07,1648620,1580000,1650000,1580000,7.02K,1.82%
2021-05-06,1619100,1619000,1620000,1619000,0.10K,19.92%
2021-05-05,1350130,1355000,1355000,1350000,0.62K,0.01%
2021-05-04,1350000,1350000,1350000,1350000,0.50K,12.45%
2021-04-30,1200510,1230000,1230000,1199000,0.04K,15.43%
2021-04-28,1040010,1040010,1040010,1040010,0.00K,0.03%
2021-04-27,1039750,1079000,1079000,1025000,0.19K,-3.64%
2021-04-26,1079000,1079000,1079000,1079000,0.00K,19.89%
2021-04-23,899990,899990,899990,899990,0.04K,5.88%
2021-04-22,850000,850000,850000,850000,0.02K,7.59%
2021-04-21,790000,790000,790000,790000,0.19K,0.00%
2021-04-14,790000,790000,790000,790000,0.46K,-1.25%
2021-04-13,800000,800000,800000,799990,0.02K,6.67%
2021-04-12,750010,750010,750010,750000,0.32K,-6.25%
2021-04-09,800000,800000,800000,799990,0.19K,7.10%
2021-03-31,747000,747000,747000,747000,0.28K,0.00%
2021-03-30,747000,747000,747000,747000,0.02K,6.69%
2021-03-29,700170,700000,740000,700000,0.48K,0.02%
2021-03-26,700000,700000,700000,700000,0.07K,-6.67%
2021-03-24,749990,749990,749990,749990,0.00K,7.14%
2021-03-22,700000,700000,700000,700000,0.00K,-0.30%
2021-03-18,702110,719000,719000,700000,0.09K,-1.11%
2021-03-17,710000,710000,710000,710000,0.04K,-0.45%
2021-03-16,713240,715000,715000,711000,5.47K,-0.25%
2021-03-15,715000,715000,715000,715000,0.00K,0.58%
2021-03-11,710890,725000,725000,710000,0.32K,-2.08%
2021-03-10,726000,726000,726000,726000,0.22K,-1.62%
2021-03-09,737990,738000,738000,737990,0.06K,1.05%
2021-03-08,730344,720241,739963,720241,1.02K,0.74%
2021-03-05,725000,725000,725000,725000,0.03K,11.44%
2021-03-04,650560,630000,660000,630000,0.27K,11.39%
2021-03-02,584030,500000,585000,500000,1.04K,-2.50%
2021-03-01,599000,599000,599000,599000,0.47K,0.77%
2021-02-26,594440,593000,599000,592990,1.00K,0.24%
2021-02-22,593000,593000,593000,593000,0.00K,6.79%
2021-02-19,555270,550000,567000,550000,1.06K,3.31%
2021-02-17,537500,540000,540000,535000,0.06K,-0.46%
2021-02-12,540000,540000,540000,540000,0.00K,-0.45%
2021-02-11,542420,550000,550000,540000,0.12K,0.08%
2021-02-05,542000,550000,550000,540000,0.02K,-1.45%
2021-02-04,550000,550000,550000,550000,0.01K,4.76%
2021-02-03,525000,525000,525000,525000,0.00K,1.94%
2021-01-28,515000,515000,515000,515000,0.23K,-2.83%
2021-01-27,530000,530000,530000,530000,2.17K,2.85%
2021-01-26,515290,515000,530000,515000,0.51K,0.01%
2021-01-25,515260,515000,530000,515000,0.72K,-2.78%
2021-01-22,529990,529990,529990,529990,0.02K,0.00%
2021-01-21,530000,530000,530000,530000,0.05K,-0.93%
2021-01-19,535000,535000,535000,535000,0.72K,-0.56%
2021-01-15,538000,538000,538000,538000,0.10K,0.00%
2021-01-14,538000,538000,538000,538000,0.01K,-0.19%
2021-01-13,539000,539000,539000,539000,73.34K,-0.19%
2021-01-12,540000,540000,540000,539990,0.01K,18.66%
2021-01-08,455080,456000,500000,450000,0.09K,23.76%
2021-01-07,367720,359990,380000,359990,2.96K,2.16%
2021-01-06,359950,359950,359950,359950,0.20K,-0.01%
2021-01-05,360000,360000,360000,359990,1.21K,0.00%
2021-01-04,360000,360000,360000,360000,0.88K,5.88%
2020-12-29,340000,340000,340000,339990,0.04K,0.00%
2020-12-28,340000,340000,340000,340000,0.00K,4.62%
2020-12-23,325000,325000,325000,325000,0.01K,-2.68%
2020-12-21,333950,342000,342000,325000,73.45K,4.36%
2020-12-18,320000,320000,320000,319990,0.39K,"114,153.08%"
2020-12-17,280,280,300,280,1.32K,0.00%
2020-12-16,280,280,280,280,0.18K,-6.67%
2020-12-15,300,300,300,300,0.21K,0.00%
2020-12-11,300,300,300,300,0.01K,0.00%
2020-12-10,300,300,300,300,0.00K,0.00%
2020-12-09,300,300,300,300,0.09K,19.62%
