"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2021","0","0","0","0","0.01K","0.00%"
"Sep 28, 2021","0","0","0","0","0.43K","-100.00%"
"Sep 27, 2021","300,000","300,000","300,000","300,000","0.10K","3.39%"
"Sep 24, 2021","290,160","300,000","300,000","271,000","0.82K","7.07%"
"Sep 23, 2021","271,000","271,000","271,000","271,000","4.33K","-9.50%"
"Sep 22, 2021","299,460","307,000","307,000","280,000","0.09K","-0.42%"
"Sep 21, 2021","300,710","306,000","306,000","300,000","0.17K","0.24%"
"Sep 20, 2021","300,000","300,000","300,000","300,000","0.01K","-1.17%"
"Sep 17, 2021","303,540","308,990","308,990","300,000","0.62K","1.18%"
"Sep 16, 2021","300,000","300,000","300,000","300,000","0.02K","0.00%"
"Sep 15, 2021","300,000","300,000","300,000","300,000","0.36K","-9.09%"
"Sep 14, 2021","329,990","329,990","329,990","329,990","0.00K","0.00%"
"Sep 13, 2021","329,990","330,000","330,000","329,990","0.15K","-0.00%"
"Sep 10, 2021","330,000","330,000","330,000","330,000","0.01K","-0.13%"
"Sep 09, 2021","330,440","348,990","348,990","330,000","0.30K","-9.40%"
"Sep 08, 2021","364,720","365,000","365,000","348,990","0.41K","4.21%"
"Sep 07, 2021","350,000","350,000","350,000","350,000","0.17K","-6.60%"
"Sep 06, 2021","374,750","380,000","380,000","370,000","0.01K","-0.86%"
"Sep 02, 2021","378,000","378,000","378,000","377,990","0.03K","-0.26%"
"Sep 01, 2021","378,990","378,990","378,990","378,990","0.01K","2.43%"
"Aug 31, 2021","370,000","370,000","370,000","370,000","0.40K","-3.90%"
"Aug 25, 2021","385,000","385,000","385,000","385,000","0.07K","-1.28%"
"Aug 24, 2021","389,990","390,000","390,000","389,990","0.40K","0.00%"
"Aug 23, 2021","389,990","389,990","389,990","389,990","0.08K","1.26%"
"Aug 20, 2021","385,150","360,000","390,000","360,000","0.23K","16.71%"
"Aug 16, 2021","330,000","330,000","330,000","330,000","0.02K","-1.49%"
"Aug 13, 2021","335,000","335,000","335,000","335,000","0.41K","0.00%"
"Aug 12, 2021","335,000","335,000","335,000","335,000","0.01K","0.00%"
"Aug 10, 2021","335,000","335,000","335,000","335,000","0.68K","0.00%"
"Aug 09, 2021","335,000","335,000","335,000","335,000","0.01K","-4.28%"
"Aug 06, 2021","349,990","349,990","349,990","349,990","0.00K","6.06%"
"Aug 05, 2021","330,000","330,000","330,000","330,000","0.02K","0.00%"
"Aug 03, 2021","330,000","330,000","330,000","330,000","0.35K","0.00%"
"Aug 02, 2021","330,000","330,000","330,000","330,000","0.00K","2.95%"
"Jul 29, 2021","320,550","320,000","330,000","320,000","0.15K","0.17%"
"Jul 27, 2021","320,000","320,000","320,000","320,000","0.39K","-4.51%"
"Jul 26, 2021","335,130","350,000","350,000","333,000","0.03K","0.04%"
"Jul 23, 2021","335,000","335,000","335,000","335,000","0.20K","8.55%"
"Jul 22, 2021","308,600","300,000","335,000","300,000","0.12K","2.83%"
"Jul 19, 2021","300,110","300,000","305,000","300,000","1.22K","-2.67%"
"Jul 16, 2021","308,350","320,000","320,000","300,000","0.10K","2.78%"
"Jul 15, 2021","300,000","300,000","300,000","300,000","0.99K","0.00%"
"Jul 14, 2021","300,000","300,000","300,000","300,000","4.34K","0.00%"
"Jul 09, 2021","300,000","300,000","300,000","300,000","4.02K","0.00%"
"Jul 08, 2021","300,000","300,000","300,000","300,000","0.38K","-6.25%"
"Jul 07, 2021","320,000","320,000","320,000","320,000","0.01K","-0.31%"
"Jul 06, 2021","321,000","321,000","321,000","321,000","0.02K","-0.98%"
"Jul 02, 2021","324,190","325,000","325,000","320,000","0.04K","1.31%"
"Jul 01, 2021","320,000","320,000","320,000","320,000","0.00K","-2.67%"
"Jun 30, 2021","328,770","330,000","330,000","325,000","0.13K","-0.37%"
"Jun 29, 2021","330,000","330,000","330,000","330,000","0.08K","1.54%"
"Jun 25, 2021","325,000","325,000","325,000","325,000","0.00K","-0.29%"
"Jun 23, 2021","325,940","325,000","330,000","325,000","75.16K","-14.23%"
"Jun 18, 2021","380,000","380,000","380,000","380,000","0.00K","17.28%"
"Jun 17, 2021","324,000","324,000","324,000","324,000","0.05K","0.00%"
"Jun 16, 2021","324,000","324,000","324,000","324,000","0.07K","0.00%"
"Jun 11, 2021","324,000","324,000","324,000","324,000","0.01K","0.00%"
"Jun 10, 2021","324,000","324,000","324,000","324,000","0.16K","0.00%"
"Jun 09, 2021","324,000","324,000","324,000","324,000","0.02K","8.00%"
"Jun 08, 2021","300,010","300,000","300,010","300,000","0.04K","15.38%"
"Jun 01, 2021","260,010","260,010","260,010","260,010","0.05K","-12.60%"
"May 28, 2021","297,500","280,000","315,000","280,000","0.20K","-8.46%"
"May 27, 2021","325,000","325,000","325,000","325,000","0.03K","0.00%"
"May 26, 2021","325,000","325,000","325,000","325,000","0.07K","14.04%"
"May 25, 2021","285,000","285,000","285,000","285,000","0.06K","0.00%"
"May 20, 2021","285,000","285,000","285,000","285,000","0.10K","-5.00%"
"May 19, 2021","300,000","300,000","300,000","300,000","0.00K","0.00%"
"May 18, 2021","300,000","300,000","300,000","300,000","0.16K","0.00%"
"May 17, 2021","300,000","300,000","300,000","300,000","0.07K","10.03%"
"May 14, 2021","272,660","250,000","275,000","250,000","0.60K","9.06%"
"May 13, 2021","250,000","250,000","250,000","250,000","0.01K","0.00%"
"May 12, 2021","250,000","250,000","250,000","250,000","0.05K","0.00%"
"May 11, 2021","250,000","250,000","250,000","250,000","0.23K","-1.19%"
"May 07, 2021","253,000","253,000","253,000","253,000","0.27K","0.00%"
"May 06, 2021","253,000","253,000","253,000","253,000","0.02K","0.00%"
"May 05, 2021","253,000","253,000","253,000","253,000","1.00K","1.20%"
"May 04, 2021","250,000","250,000","250,000","250,000","0.03K","-0.12%"
