Date,Price,Open,High,Low,Vol.,Change %
2017-07-14,544,378,544,378,1.28K,72.70%
2017-07-17,700,650,700,650,3.00K,28.67%
2017-07-18,750,750,800,750,2.60K,7.14%
2017-07-19,795,800,800,795,0.34K,6.00%
2017-07-21,800,795,800,795,0.43K,0.63%
2017-07-25,800,797,797,797,0.01K,0.00%
2017-07-28,900,900,900,900,1.00K,12.50%
2017-08-01,900,950,950,950,0.04K,0.00%
2017-08-02,893,893,893,893,0.81K,-0.78%
2017-08-03,890,890,890,890,1.30K,-0.34%
2017-08-04,1067,1067,1067,1067,0.35K,19.89%
2017-08-08,1250,1250,1250,1250,0.79K,17.15%
2017-08-10,1250,1250,1499,1250,5.10K,0.00%
2017-08-11,1400,1350,1400,1350,0.33K,12.00%
2017-08-15,1250,1400,1400,1250,3.50K,-10.71%
2017-08-16,1400,1400,1400,1020,2.00K,12.00%
2017-08-17,1400,1395,1395,1395,0.04K,0.00%
2017-08-18,1395,1395,1395,1395,0.14K,-0.36%
2017-08-21,1375,1400,1400,1375,3.77K,-1.43%
2017-08-22,1375,1375,1395,1375,0.42K,0.00%
2017-08-23,1300,1300,1300,1300,3.24K,-5.45%
2017-08-24,1295,1295,1295,1295,0.10K,-0.38%
2017-08-25,1295,1295,1295,1295,0.00K,0.00%
2017-08-28,1295,1295,1295,1295,0.00K,0.00%
2017-08-29,1295,1295,1295,1295,0.40K,0.00%
2017-08-30,1295,1295,1295,1295,0.00K,0.00%
2017-08-31,1250,1250,1250,1250,0.08K,-3.47%
2017-09-01,1200,1200,1200,1200,0.50K,-4.00%
2017-09-04,1200,1200,1200,1200,0.42K,0.00%
2017-09-05,1200,1250,1250,1250,0.00K,0.00%
2017-09-06,1250,1250,1250,1250,0.20K,4.17%
2017-09-07,1255,1255,1255,1255,0.45K,0.40%
2017-09-08,1400,1300,1400,1300,9.00K,11.55%
2017-09-15,1500,1500,1500,1500,0.12K,7.14%
2017-09-19,1495,1495,1495,1495,0.50K,-0.33%
2017-09-20,1490,1495,1495,1346,3.46K,-0.33%
2017-09-28,1785,1785,1785,1785,0.01K,19.80%
2017-09-29,1785,1785,1785,1785,0.10K,0.00%
2017-10-03,1691,1691,1691,1691,0.90K,-5.27%
2017-10-05,1650,1650,1650,1650,0.42K,-2.42%
2017-10-06,1645,1645,1650,1645,0.71K,-0.30%
2017-10-18,1800,1900,1900,1800,1.00K,9.42%
2017-10-19,1850,1850,1850,1850,1.00K,2.78%
2017-10-20,1850,1850,1850,1850,0.00K,0.00%
2017-10-23,1850,1850,1850,1850,0.03K,0.00%
2017-10-24,1850,1850,1850,1850,0.01K,0.00%
2017-10-26,1849,1849,1849,1849,0.26K,-0.05%
2017-10-27,1849,1849,1849,1849,0.00K,0.00%
2017-10-30,1850,1850,1850,1850,0.00K,0.05%
2017-11-02,2000,2000,2000,2000,0.08K,8.11%
2017-11-08,2164,2200,2200,2000,0.28K,8.20%
2017-11-09,2150,2150,2150,2100,0.35K,-0.65%
2017-11-10,2200,2200,2200,2200,0.86K,2.33%
2017-11-14,2171,2400,2400,2100,14.12K,-1.32%
2017-11-15,2200,2200,2200,2200,0.01K,1.34%
2017-11-17,1739,2000,2200,1681,2.55K,-20.95%
2017-11-20,2000,2000,2000,2000,2.50K,15.01%
2017-11-21,2000,2000,2000,2000,0.01K,0.00%
2017-11-23,2000,2000,2000,2000,5.99K,0.00%
2017-11-24,2000,2000,2000,2000,4.00K,0.00%
2017-11-27,2002,2002,2002,2002,0.24K,0.10%
2017-11-28,1620,1620,1620,1620,0.21K,-19.08%
2017-12-05,1772,1600,1944,1600,0.01K,9.38%
2017-12-07,1943,1943,1943,1943,0.00K,9.65%
2017-12-08,1620,1620,1620,1620,0.88K,-16.62%
2017-12-14,1650,1650,1650,1650,1.24K,1.85%
2017-12-21,1980,1980,1980,1980,0.00K,20.00%
2017-12-26,1800,1800,1800,1800,0.60K,-9.09%
2017-12-28,2100,2100,2100,2100,0.01K,16.67%
2018-01-05,2000,2000,2000,2000,0.00K,-4.76%
2018-01-09,1600,1600,1600,1600,0.78K,-20.00%
2018-01-10,1910,1910,1910,1910,0.13K,19.38%
2018-01-11,2000,2000,2000,2000,0.04K,4.71%
2018-01-12,2000,2000,2000,2000,0.05K,0.00%
2018-01-15,1601,1602,1602,1601,5.33K,-19.95%
2018-01-16,1921,1921,1921,1921,0.05K,19.99%
2018-01-17,2305,2305,2305,2305,0.10K,19.99%
2018-01-18,2017,2390,2390,2000,0.58K,-12.49%
2018-01-19,1630,2390,2390,1601,4.08K,-19.19%
2018-01-22,1600,1600,1600,1600,0.18K,-1.84%
2018-01-25,1850,1600,1920,1600,0.64K,15.63%
2018-01-29,2000,2000,2000,2000,5.00K,8.11%
2018-01-30,2394,2304,2400,2304,0.27K,19.70%
2018-01-31,2000,2000,2000,2000,1.00K,-16.46%
2018-02-05,2000,2000,2000,2000,1.00K,0.00%
2018-02-06,2047,2200,2200,2000,0.78K,2.35%
2018-02-07,2000,2000,2000,2000,-,-2.30%
2018-02-08,2000,2000,2000,2000,2.05K,0.00%
2018-02-09,2199,2199,2199,2199,0.40K,9.95%
2018-02-15,2375,2400,2400,2300,4.01K,8.00%
2018-02-21,2500,2500,2500,2500,2.00K,5.26%
2018-02-23,3000,3000,3000,3000,1.00K,20.00%
2018-02-26,3595,3595,3595,3595,2.00K,19.83%
2018-02-27,3750,3750,3750,3750,0.20K,4.31%
2018-02-28,3500,3500,3500,3500,2.00K,-6.67%
2018-03-01,3500,3500,3500,3500,0.90K,0.00%
2018-03-02,4000,4000,4000,4000,1.00K,14.29%
2018-03-06,3900,3900,3900,3900,3.49K,-2.50%
2018-03-07,3500,3500,3500,3500,2.00K,-10.26%
2018-03-14,4000,4000,4000,4000,6.00K,14.29%
2018-03-21,4500,4500,4500,4500,1.10K,12.50%
2018-03-23,4500,4500,4500,4500,0.01K,0.00%
2018-03-26,5350,5350,5350,5350,0.08K,18.89%
2018-03-27,5348,5340,5350,5340,0.63K,-0.04%
2018-03-28,5350,5350,5350,5350,0.39K,0.04%
2018-04-02,5350,5350,5350,5350,1.10K,0.00%
2018-04-03,6022,6400,6400,6000,1.80K,12.56%
2018-04-04,7150,7150,7150,7150,2.27K,18.73%
2018-04-05,8221,7350,8580,7350,1.84K,14.98%
2018-04-06,10010,10000,10295,10000,1.04K,21.76%
2018-04-09,12352,12350,12354,12350,1.02K,23.40%
2018-04-10,14825,14825,14825,14825,1.31K,20.02%
2018-04-11,17790,17790,17790,17790,0.66K,20.00%
2018-04-12,21000,21000,21000,21000,7.00K,18.04%
2018-04-13,25165,23000,25200,23000,20.28K,19.83%
2018-04-16,30100,30100,30100,30100,0.50K,19.61%
2018-04-17,32019,36000,36000,32000,2.08K,6.38%
2018-04-18,38381,38000,38400,38000,8.40K,19.87%
2018-04-20,43559,40000,46075,40000,0.27K,13.49%
2018-04-24,45000,45000,45000,45000,0.38K,3.31%
2018-04-25,45000,45000,45000,45000,0.62K,0.00%
2018-04-26,44302,45000,45000,43000,0.58K,-1.55%
2018-04-27,45000,45000,45000,45000,0.12K,1.58%
2018-04-30,45000,45000,45000,45000,0.42K,0.00%
2018-05-02,45000,45000,45000,45000,0.02K,0.00%
2018-05-03,50000,52000,52000,50000,1.06K,11.11%
2018-05-04,57000,59000,59000,57000,0.11K,14.00%
2018-05-07,57000,57000,57000,57000,0.25K,0.00%
2018-05-08,54000,54000,54000,54000,0.09K,-5.26%
2018-05-09,43000,43000,43200,43000,0.20K,-20.37%
2018-05-11,55000,51840,56000,51840,0.70K,27.91%
2018-05-15,60000,64400,64400,60000,0.18K,9.09%
2018-05-16,63000,64300,64300,63000,0.83K,5.00%
2018-05-17,64000,64300,64300,64250,0.03K,1.59%
2018-05-18,64000,64300,64300,64300,0.05K,0.00%
2018-05-21,75000,75000,75000,75000,0.05K,17.19%
2018-05-22,88000,80000,91000,80000,0.06K,17.33%
2018-05-23,110000,108000,110000,108000,0.27K,25.00%
2018-05-24,120000,120000,129000,120000,5.82K,9.09%
2018-05-25,129000,129000,129000,129000,0.05K,7.50%
2018-05-28,174000,154000,185000,154000,5.03K,34.88%
2018-05-29,183000,184000,184000,183000,0.55K,5.17%
2018-05-31,142000,147000,147000,125000,0.39K,-22.40%
2018-06-01,150000,150000,150000,150000,0.54K,5.63%
2018-06-05,153000,150000,170000,150000,0.18K,2.00%
2018-06-06,168000,169990,169990,160000,0.12K,9.80%
2018-06-07,165000,167500,167500,165000,0.31K,-1.79%
2018-06-08,165000,165000,165000,165000,0.27K,0.00%
2018-06-12,155000,165000,165000,155000,1.78K,-6.06%
2018-06-13,165000,165000,165000,145000,1.03K,6.45%
2018-06-14,145000,144990,144990,144990,0.02K,-12.12%
2018-06-15,143000,130000,144990,130000,0.11K,-1.38%
2018-06-18,166000,165000,167000,165000,1.89K,16.08%
2018-06-19,167000,167000,167000,167000,3.10K,0.60%
2018-06-20,190000,170000,200000,170000,0.60K,13.77%
2018-06-21,194000,200000,200000,180000,1.63K,2.11%
2018-06-26,200000,200000,200000,200000,1.48K,3.09%
2018-06-28,200000,198000,200000,198000,0.24K,0.00%
2018-06-29,210000,210000,210000,210000,0.05K,5.00%
2018-07-04,210000,210000,210000,210000,2.04K,0.00%
2018-07-09,210000,210000,210000,210000,1.12K,0.00%
2018-07-10,214000,242000,242000,210000,0.92K,1.90%
2018-07-11,220000,220000,220000,220000,0.01K,2.80%
2018-07-12,220000,220000,260000,220000,0.40K,0.00%
2018-07-13,256000,260000,260000,255000,0.91K,16.36%
2018-07-17,273000,260000,275000,260000,1.59K,6.64%
2018-07-25,275000,275000,275000,275000,0.03K,0.73%
2018-08-01,290000,290000,290000,290000,0.78K,5.45%
2018-08-02,304000,290000,320000,290000,8.70K,4.83%
2018-08-03,338000,330000,339000,330000,16.00K,11.18%
2018-08-06,400000,4,4,4,0.01K,-100.00%
2018-08-07,400000,4,4,4,0.01K,0.00%
2018-08-08,400000,4,4,4,0.02K,0.00%
2018-08-09,400000,4,4,4,0.22K,0.00%
2018-08-10,300000,4,4,3,8.32K,-15.17%
2018-08-13,300000,3,3,3,1.44K,0.00%
2018-08-16,500000,4,5,4,1.10K,41.56%
2018-08-21,6,6,6,6,0.05K,32.45%
2018-08-23,7,7,7,7,0.50K,16.67%
2018-08-24,8,7,8,7,0.04K,14.29%
2018-08-27,8,8,8,8,0.71K,0.00%
2018-08-28,7,7,8,7,0.71K,-12.50%
2018-08-29,7,8,8,7,0.02K,0.00%
2018-08-30,8,8,8,8,0.23K,14.29%
2018-08-31,8,8,8,8,0.07K,0.00%
2018-09-04,7,7,7,7,0.06K,-12.50%
2018-09-05,7,7,7,7,0.53K,0.00%
2018-09-11,7,7,7,7,2.00K,0.00%
2018-09-17,7,7,8,7,1.40K,0.00%
2018-09-18,8,8,8,8,0.00K,14.29%
2018-09-19,8,9,9,8,0.07K,0.00%
2018-09-20,9,9,9,9,0.13K,0.00%
2018-09-21,9,9,9,9,0.01K,0.00%
2018-09-24,9,9,9,9,0.01K,0.00%
2018-09-26,9,9,9,9,0.12K,0.00%
2018-10-02,9,10,10,9,0.38K,10.20%
2018-10-03,8,9,9,8,0.20K,-14.57%
2018-10-04,8,8,9,8,0.03K,0.00%
2018-10-09,9,9,9,9,1.41K,0.00%
2018-10-10,10,10,10,10,0.00K,18.03%
2018-10-15,10,10,10,10,0.00K,0.00%
2018-10-16,9,9,12,9,0.01K,-5.70%
2018-10-17,11,12,12,10,0.01K,11.98%
2018-10-18,12,12,12,12,0.02K,13.64%
2018-10-19,12,12,12,12,0.02K,0.00%
2018-10-22,12,14,14,12,0.02K,0.00%
2018-10-24,13,13,13,13,0.00K,10.11%
2018-10-25,12,12,12,12,0.30K,-10.45%
2018-10-29,13,14,14,13,0.58K,8.83%
2018-10-30,14,14,14,14,0.00K,9.49%
2018-10-31,14,14,14,14,0.64K,0.00%
2018-11-01,14,14,14,14,0.00K,0.00%
2018-11-02,17,17,17,17,0.01K,20.00%
2018-11-06,18,18,18,18,0.00K,0.00%
2018-11-07,18,18,18,18,0.03K,0.00%
2018-11-09,18,18,18,18,0.07K,0.00%
2018-11-13,18,18,18,18,0.11K,0.00%
2018-11-15,21,21,21,21,0.03K,20.00%
