date,close,open,high,low,volume,change
2014-09-15,128,128,128,128,0.05K,14.29%
2014-09-19,128,128,128,128,7.43K,0.00%
2014-09-26,136,136,136,136,7.41K,6.25%
2014-09-29,144,144,144,144,6.66K,5.88%
2014-10-07,152,152,152,152,3.00K,5.55%
2014-10-08,152,152,152,152,3.30K,0.00%
2014-10-28,160,160,160,160,5.97K,5.26%
2014-11-06,168,168,168,168,4.50K,5.00%
2014-11-07,168,168,168,168,1.20K,0.00%
2014-11-14,179,176,179,176,3.00K,6.66%
2014-11-17,179,179,179,179,0.01K,0.00%
2014-11-19,179,179,179,179,2.10K,0.00%
2014-11-20,179,179,179,179,1.18K,0.00%
2014-12-01,179,198,198,198,0.01K,0.00%
2014-12-09,198,198,198,198,0.05K,10.72%
2014-12-11,198,198,198,198,0.86K,0.00%
2014-12-12,198,198,198,198,4.07K,0.00%
2015-01-02,208,208,208,208,28.69K,4.84%
2015-01-21,208,208,208,208,3.00K,0.00%
2015-02-04,217,217,217,217,2.19K,4.61%
2015-02-11,227,227,227,227,0.99K,4.71%
2015-02-20,215,215,215,215,4.46K,-5.38%
2015-02-27,237,237,237,237,2.07K,10.00%
2015-03-02,248,248,248,248,1.98K,4.90%
2015-03-03,265,248,265,248,2.25K,6.67%
2015-03-06,281,281,281,281,1.74K,6.25%
2015-03-11,298,298,298,298,0.18K,5.88%
2015-03-13,298,298,298,298,2.67K,0.00%
2015-03-16,314,314,314,314,1.56K,5.55%
2015-03-17,331,319,331,319,4.38K,5.27%
2015-03-18,331,331,331,331,2.67K,0.00%
2015-03-20,331,331,364,331,8.99K,0.00%
2015-03-23,364,364,364,364,0.39K,10.00%
2015-03-25,380,380,380,380,1.34K,4.55%
2015-04-14,380,380,380,380,0.13K,0.00%
2015-04-20,380,331,331,331,0.00K,0.00%
2015-04-24,380,380,380,380,0.56K,0.00%
2015-04-28,397,397,397,397,0.55K,4.35%
2015-05-13,397,397,397,397,0.09K,0.00%
2015-05-15,414,414,414,414,0.24K,4.17%
2015-05-20,430,430,430,430,0.23K,4.00%
2015-05-22,471,471,471,471,4.50K,9.62%
2015-05-25,629,629,629,629,4.50K,33.33%
2015-05-27,754,754,754,754,1.50K,20.00%
2015-06-02,754,754,754,754,0.87K,0.00%
2015-06-05,827,827,827,827,4.50K,9.65%
2015-06-10,827,827,827,827,0.08K,0.00%
2015-06-12,827,827,827,827,0.05K,0.00%
2015-06-15,893,893,893,893,0.01K,8.00%
2015-06-18,893,893,893,893,0.01K,0.00%
2015-06-19,893,893,893,893,0.01K,0.00%
2015-06-30,993,993,993,993,0.02K,11.11%
2015-07-02,993,993,993,993,24.29K,0.00%
2015-07-03,993,993,993,993,0.01K,0.00%
2015-07-09,993,993,993,993,24.30K,0.00%
2015-07-13,1191,1191,1191,1191,0.01K,20.00%
2015-07-14,1191,1191,1191,1191,0.18K,0.00%
2015-07-20,1224,1224,1224,1224,4.58K,2.78%
2015-07-28,1323,1158,1323,1158,0.30K,8.11%
2015-08-03,1323,1323,1323,1323,0.77K,0.00%
2015-08-04,1323,1323,1323,1323,0.03K,0.00%
2015-08-06,1257,1257,1257,1257,3.36K,-5.00%
2015-08-25,1224,1224,1224,1224,0.09K,-2.63%
2015-09-02,1158,1158,1158,1158,1.07K,-5.41%
2015-09-09,1059,1059,1059,1059,1.36K,-8.57%
2015-09-14,1059,1059,1059,1059,0.03K,0.00%
2015-10-05,1059,1059,1059,1059,0.01K,0.00%
