Date,Price,Open,High,Low,Vol.,Change %
2014-08-21,13,13,13,13,27.72K,0.00%
2014-08-25,13,13,13,13,17.32K,0.00%
2014-08-27,14,14,14,14,520.42K,6.38%
2014-08-29,14,14,14,14,21.04K,0.00%
2014-09-02,14,14,14,14,6.93K,0.00%
2014-09-11,14,14,14,14,11.78K,0.00%
2014-09-12,14,14,14,14,0.33K,0.00%
2014-09-15,14,14,14,14,12.47K,0.00%
2014-09-19,14,14,14,14,0.35K,0.00%
2014-09-25,15,17,17,15,14.40K,8.19%
2014-09-29,14,14,14,14,10.40K,-5.66%
2014-09-30,15,15,15,15,310.37K,7.95%
2014-10-02,14,14,14,14,0.38K,-7.36%
2014-10-03,14,14,16,14,16.98K,0.00%
2014-10-08,16,14,16,14,117.90K,9.97%
2014-10-10,15,15,15,15,68.74K,-3.61%
2014-10-14,14,14,14,14,6.93K,-5.66%
2014-10-15,14,14,14,14,14.27K,0.00%
2014-10-17,15,15,17,15,30.26K,0.00%
2014-10-20,15,15,15,15,73.80K,0.00%
2014-10-21,16,16,16,16,12.00K,5.66%
2014-10-22,16,17,17,16,122.65K,0.00%
2014-10-23,16,16,16,16,3.62K,0.00%
2014-10-24,16,16,16,16,143.13K,0.00%
2014-10-27,16,15,16,15,20.84K,0.00%
2014-10-28,19,19,19,19,20.58K,18.45%
2014-10-29,18,18,18,18,2.63K,0.00%
2014-10-30,18,18,18,18,9.15K,0.00%
2014-11-03,18,18,18,18,0.57K,0.00%
2014-11-05,16,16,16,16,1.65M,-11.90%
2014-11-07,16,16,16,16,47.04K,0.00%
2014-11-14,17,17,17,17,0.80K,10.21%
2014-11-17,17,18,18,18,0.05K,0.00%
2014-11-19,17,18,18,18,0.01K,0.00%
2014-11-20,17,17,17,17,64.14K,-5.01%
2014-11-21,17,17,17,17,539.95K,0.00%
2014-11-26,17,17,17,17,23.31K,0.00%
2014-11-27,17,17,17,17,6.11K,0.00%
2014-12-01,17,17,17,17,0.05K,0.00%
2014-12-02,17,17,17,17,0.23K,0.00%
2014-12-03,17,17,17,17,0.41K,0.00%
2014-12-09,17,17,17,17,0.69K,3.33%
2014-12-10,19,19,19,19,11.43K,10.01%
2014-12-12,20,20,20,20,6.40K,0.00%
2014-12-15,18,18,18,18,11.62K,-6.55%
2014-12-17,18,18,18,18,1.60K,0.00%
2014-12-18,19,19,19,19,2.29K,4.77%
2015-01-06,20,20,20,20,11.93K,3.40%
2015-01-07,20,21,21,20,5.36K,0.00%
2015-01-09,20,20,20,20,0.71K,0.00%
2015-01-13,20,20,20,20,15.57K,0.00%
2015-01-14,20,20,20,20,2.64K,0.00%
2015-01-15,20,20,20,20,4.90K,0.00%
2015-01-16,22,21,22,21,10.52K,6.42%
2015-01-21,22,22,22,22,11.89K,0.00%
2015-01-23,22,22,22,22,6.86K,0.00%
2015-01-27,22,22,22,22,0.11K,0.00%
2015-01-28,22,22,22,22,11.43K,0.00%
2015-01-29,23,23,23,23,2.29K,3.96%
2015-02-03,20,20,20,20,217.41K,-11.51%
2015-02-04,20,20,20,20,224.35K,0.00%
2015-02-05,20,20,20,20,24.53K,0.00%
2015-02-06,20,20,20,20,55.23K,0.00%
2015-02-10,20,20,20,20,0.66K,0.00%
2015-02-11,20,20,20,20,228.66K,0.00%
2015-02-12,20,20,20,20,602.09K,0.00%
2015-02-23,20,20,20,20,23.10K,0.00%
2015-02-26,20,20,20,20,0.23K,0.00%
2015-02-27,23,23,23,23,6.86K,15.21%
2015-03-02,23,23,23,23,4.57K,0.00%
2015-03-03,26,26,26,26,4.35K,13.20%
2015-03-05,25,25,25,25,1.20K,-3.34%
2015-03-06,24,24,24,24,13.72K,-5.16%
2015-03-10,24,24,24,24,6.86K,0.00%
2015-03-11,24,24,24,24,2.29K,0.00%
2015-03-20,26,24,26,24,14.79K,9.08%
2015-03-23,24,26,26,24,27.90K,-8.32%
2015-03-25,26,26,26,26,16.14K,9.08%
2015-03-27,26,26,26,26,9.15K,0.00%
2015-03-31,28,28,28,28,17.15K,8.32%
2015-04-06,30,30,30,30,0.23K,6.16%
2015-04-07,30,30,30,30,6.60K,0.00%
2015-04-08,30,30,32,30,15.11K,0.00%
2015-04-09,33,33,33,33,4.57K,7.13%
2015-04-10,35,33,36,33,40.84K,6.66%
2015-04-13,37,36,37,36,14.66K,6.24%
2015-04-14,35,37,37,35,5.05K,-5.88%
2015-04-15,37,37,37,37,2.95K,7.51%
2015-04-16,37,37,37,37,12.12K,0.00%
