Date,Price,Open,High,Low,Vol.,Change %
2021-12-03,3,3,3,3,15.35K,0.00%
2021-12-02,3,3,3,3,35.86K,0.00%
2021-12-01,3,3,3,3,0.12K,0.00%
2021-11-30,3,3,3,3,0.88K,0.00%
2021-11-29,3,3,3,3,1.50K,0.00%
2021-11-26,3,3,3,3,7.98K,0.00%
2021-11-25,3,3,3,3,1.20K,0.00%
2021-11-23,3,3,3,3,0.62K,0.00%
2021-11-19,3,3,3,3,5.53K,0.00%
2021-11-18,3,3,3,3,3.64K,0.00%
2021-11-17,3,3,3,3,0.15K,0.00%
2021-11-16,3,3,3,3,0.14K,0.00%
2021-11-15,3,3,3,3,1.10K,0.00%
2021-11-12,3,3,3,3,0.21K,0.00%
2021-11-11,3,3,3,3,1.21K,0.00%
2021-11-10,3,3,3,3,2.71K,0.00%
2021-11-09,3,3,3,3,8.40K,0.00%
2021-11-08,3,2,3,2,1.51K,0.00%
2021-11-05,2,2,2,2,0.94K,0.00%
2021-11-04,2,2,2,2,1.36K,0.00%
2021-11-03,2,2,2,2,0.64K,0.00%
2021-11-02,2,2,2,2,5.78K,0.00%
2021-10-29,2,2,2,2,2.98K,0.00%
2021-10-28,2,2,2,2,12.77K,0.00%
2021-10-27,2,2,2,2,1.41K,0.00%
2021-10-26,2,2,2,2,2.01K,0.00%
2021-10-25,2,2,2,2,7.25K,0.00%
2021-10-22,2,2,2,2,20.69K,0.00%
2021-10-21,2,2,2,2,0.14K,0.00%
2021-10-20,2,2,2,2,0.58K,0.00%
2021-10-19,2,2,2,2,3.16K,0.00%
2021-10-18,2,2,2,2,0.31K,0.00%
2021-10-15,2,2,2,2,5.79K,0.00%
2021-10-14,2,2,2,2,6.32K,0.00%
2021-10-13,2,3,3,2,3.30K,0.00%
2021-10-11,3,3,3,3,0.02K,0.00%
2021-10-08,3,3,3,3,0.02K,0.00%
2021-10-07,3,3,3,3,0.01K,0.00%
2021-10-06,3,3,3,3,0.06K,0.00%
2021-10-05,3,3,3,3,1.02K,0.00%
2021-10-04,3,3,3,3,3.26K,0.00%
2021-09-29,3,3,3,3,2.42K,0.00%
2021-09-28,3,3,3,3,0.46K,-100.00%
2021-09-27,2499960,2500000,2500000,2499000,0.31K,-3.28%
2021-09-24,2584710,2674000,2674000,2460030,0.08K,-0.79%
2021-09-23,2605210,2600000,2689000,2600000,6.18K,0.01%
2021-09-22,2605050,2690000,2690000,2600000,4.98K,-2.45%
2021-09-21,2670380,2689000,2689000,2670000,1.58K,0.77%
2021-09-20,2650000,2650000,2650000,2650000,0.13K,-1.85%
2021-09-17,2700070,2720000,2720000,2600000,95.70K,-3.52%
2021-09-16,2798480,2799000,2799000,2720000,5.12K,3.89%
2021-09-15,2693700,2700000,2700000,2650000,2.26K,-1.06%
2021-09-14,2722540,2797000,2799000,2690000,0.84K,1.25%
2021-09-13,2689030,2690000,2695000,2600000,1.48K,0.44%
2021-09-10,2677160,2697000,2697000,2600000,0.76K,-0.35%
2021-09-09,2686460,2697000,2697000,2500000,96.77K,-3.93%
2021-09-08,2796330,2799000,2799000,2795000,0.03K,5.45%
2021-09-07,2651810,2649000,2699000,2649000,0.83K,-0.99%
2021-09-06,2678200,2697000,2697000,2650000,1.15K,-0.81%
2021-09-03,2700000,2700000,2700000,2700000,0.10K,-3.54%
2021-09-02,2798990,2800000,2800000,2700000,0.34K,1.72%
2021-09-01,2751690,2740000,2899000,2740000,0.49K,-1.12%
2021-08-31,2782850,2800000,2800000,2740000,1.65K,1.42%
2021-08-30,2743920,2700000,2890000,2700000,0.14K,2.79%
2021-08-27,2669470,2799000,2799000,2655000,0.04K,-7.26%
2021-08-26,2878470,2800000,2899000,2800000,6.40K,2.80%
2021-08-25,2800000,2800000,2800000,2800000,0.24K,-0.30%
2021-08-24,2808330,2850000,2850000,2800000,0.01K,0.41%
2021-08-23,2796870,2900000,2900000,2794000,2.70K,0.10%
2021-08-20,2794000,2794000,2794000,2794000,8.93K,-0.02%
2021-08-19,2794650,2799000,2799000,2794000,1.34K,3.16%
