Date,Price,Open,High,Low,Vol.,Change %
2021-09-28,1,1,1,1,0.30K,-100.00%
2021-09-27,840630,841000,841000,840000,0.02K,-0.71%
2021-09-24,846600,840000,849000,840000,0.74K,0.59%
2021-09-23,841670,849000,849000,840000,20.03K,-0.98%
2021-09-22,850000,850000,850000,850000,0.04K,1.76%
2021-09-21,835270,849000,849000,750000,0.77K,-1.50%
2021-09-20,848000,848000,848000,848000,0.05K,0.00%
2021-09-17,847990,848000,848000,847990,0.01K,1.07%
2021-09-16,839000,839000,839000,839000,2.62K,-1.29%
2021-09-15,849990,850000,850000,839000,4.10K,0.00%
2021-09-14,850000,850000,850000,850000,0.21K,0.00%
2021-09-13,850000,850000,850000,850000,0.10K,0.93%
2021-09-10,842160,840000,850000,840000,0.05K,0.26%
2021-09-09,840000,840000,840000,840000,0.01K,-1.57%
2021-09-08,853410,885000,885000,850000,0.57K,0.40%
2021-09-07,850000,850000,850000,850000,0.09K,-6.00%
2021-09-06,904230,905000,905000,904000,0.01K,1.52%
2021-09-03,890710,905000,905000,890000,0.11K,-1.11%
2021-09-02,900730,900000,905000,900000,0.48K,0.08%
2021-09-01,900000,900000,900000,900000,0.07K,1.98%
2021-08-31,882560,880000,900000,880000,1.49K,-0.85%
2021-08-30,890100,890000,900000,890000,1.46K,0.01%
2021-08-27,890000,890000,890000,890000,0.55K,0.08%
2021-08-26,889270,885000,890000,885000,22.64K,1.73%
2021-08-25,874160,870000,885000,870000,2.58K,-0.28%
2021-08-24,876580,870000,880000,870000,0.79K,0.76%
2021-08-23,870000,870000,870000,870000,0.26K,-0.39%
2021-08-20,873380,849990,875000,849990,1.68K,2.75%
2021-08-19,850000,850000,850000,850000,0.02K,6.82%
2021-08-18,795720,770000,850000,770000,8.61K,5.21%
2021-08-17,756300,750000,765000,750000,3.43K,2.96%
2021-08-16,734550,729990,755000,729990,11.33K,0.62%
2021-08-13,729990,729990,729990,729980,0.80K,0.92%
2021-08-12,723330,724990,725000,720000,0.75K,-0.06%
2021-08-11,723780,719990,730000,719990,5.55K,2.83%
2021-08-10,703860,699940,720000,699000,5.60K,1.81%
2021-08-09,691360,699950,699950,690000,2.28K,-1.23%
2021-08-06,699990,699990,699990,699980,6.86K,0.00%
2021-08-05,699960,699950,699980,699950,0.68K,0.00%
2021-08-04,699960,699960,699960,699960,0.25K,0.30%
2021-08-03,697890,699990,699990,689900,1.55K,1.21%
2021-08-02,689570,690000,690000,689000,10.03K,11.82%
2021-07-29,616670,600000,699990,600000,0.75K,-11.27%
2021-07-28,695000,695000,695000,695000,1.09K,-0.59%
2021-07-27,699160,695000,699990,695000,28.24K,0.60%
2021-07-26,694990,694990,694990,694990,0.13K,-0.71%
2021-07-23,699990,699990,699990,699990,0.45K,13.20%
2021-07-22,618360,599990,699990,599990,1.23K,-10.38%
2021-07-21,690000,690000,690000,690000,1.00K,-1.43%
2021-07-20,700000,700000,700000,700000,0.03K,-0.01%
2021-07-19,700080,720000,720000,700000,1.00K,-1.97%
2021-07-16,714170,713990,720000,713500,4.89K,0.03%
2021-07-15,713990,713990,713990,713980,0.26K,0.20%
2021-07-14,712600,714000,714000,712000,0.10K,-0.18%
2021-07-13,713910,714000,714000,713900,0.11K,0.09%
2021-07-12,713290,714000,714000,712990,0.05K,1.08%
2021-07-09,705700,690000,714000,655000,7.04K,0.85%
2021-07-08,699740,699990,699990,699000,0.07K,-3.57%
2021-07-07,725650,733950,733950,710000,0.06K,-1.90%
2021-07-06,739710,739990,739990,739000,0.71K,2.83%
2021-07-02,719320,700000,739990,700000,8.81K,4.21%
2021-07-01,690260,665000,700000,665000,7.60K,8.90%
2021-06-30,633860,620000,661000,620000,5.79K,2.24%
2021-06-29,620000,620000,620000,620000,4.48K,19.53%
2021-06-18,518680,506000,520000,506000,6.44K,2.51%
2021-06-16,506000,506000,506000,506000,0.02K,-0.22%
2021-06-15,507130,620000,620000,506000,0.10K,-18.70%
2021-06-10,623770,618000,629990,618000,0.51K,-0.92%
2021-06-09,629560,630000,630000,625000,2.72K,13.30%
2021-06-08,555660,600000,630000,539000,5.78K,-11.80%
2021-06-07,630000,630000,630000,630000,0.00K,17.10%
2021-06-04,538000,538000,538000,538000,4.39K,0.00%
2021-06-03,538020,538900,538900,538000,1.03K,-0.18%
2021-06-01,539000,539000,539000,539000,1.01K,0.00%
2021-05-31,539000,539000,539000,539000,0.26K,0.00%
2021-05-28,539000,539000,539000,539000,0.18K,-0.19%
2021-05-27,540000,540000,540000,540000,0.27K,-2.61%
2021-05-26,554450,595000,595000,550000,1.46K,-8.34%
2021-05-25,604890,610000,610000,600000,6.64K,0.18%
2021-05-21,603830,600000,630000,600000,10.32K,-0.12%
2021-05-20,604550,650000,650000,600000,0.01K,-4.06%
2021-05-19,630130,650000,650000,630000,0.45K,-1.81%
2021-05-18,641750,620000,650000,620000,0.28K,2.61%
2021-05-17,625450,680000,680000,620000,0.01K,-2.91%
2021-05-14,644190,650000,650000,640000,0.06K,-0.89%
2021-05-13,650000,650000,650000,650000,0.11K,3.73%
2021-05-12,626640,625000,650000,625000,9.39K,4.44%
2021-05-11,600000,600000,600000,600000,24.33K,-13.04%
2021-05-10,689960,700000,700000,685000,1.24K,-1.99%
2021-05-07,704000,719990,719990,700000,30.49K,17.27%
2021-05-06,600330,600000,700000,600000,24.31K,0.06%
2021-05-05,600000,600000,600000,600000,0.58K,2.75%
2021-05-04,583930,590000,590000,580000,0.01K,6.17%
2021-05-03,550000,550000,550000,550000,0.56K,-5.31%
2021-04-30,580830,600000,600000,579990,0.53K,0.14%
2021-04-29,579990,579990,579990,579990,0.22K,13.99%
2021-04-28,508830,505000,600000,500000,7.52K,1.59%
2021-04-27,500890,485000,520000,485000,6.76K,6.74%
2021-04-26,469270,467990,485000,467990,0.92K,6.66%
2021-04-23,439960,430000,467990,430000,2.76K,4.47%
2021-04-22,421140,420000,430000,420000,1.36K,0.49%
