Date,Price,Open,High,Low,Vol.,Change %
2013-03-11,20,20,20,20,0.25K,-100.00%
2013-03-12,20,20,20,20,0.08K,0.00%
2013-03-20,20,20,20,20,0.27K,0.00%
2013-03-21,20,20,20,20,0.20K,0.00%
2013-03-22,20,20,20,20,0.08K,0.00%
2013-04-01,20,20,20,20,0.71K,0.00%
2013-04-02,20,20,20,19,3.86K,0.00%
2013-04-03,20,20,20,20,0.09K,0.00%
2013-04-09,20,20,20,20,-,0.00%
2013-04-10,20,20,20,20,0.49K,0.00%
2013-04-11,20,20,20,20,0.09K,0.00%
2013-04-12,20,20,20,20,1.05K,0.00%
2013-04-15,20,20,20,20,1.60K,0.00%
2013-04-25,21,20,21,20,0.59K,0.00%
2013-05-02,21,21,21,21,0.34K,2.63%
2013-05-06,21,21,21,21,0.99K,0.00%
2013-05-08,21,21,21,21,4.00K,0.00%
2013-05-10,22,22,22,22,0.11K,3.70%
2013-05-14,22,22,22,22,0.39K,0.00%
2013-05-15,23,23,23,23,0.57K,0.00%
2013-06-17,29,29,29,29,79.48K,28.29%
2013-06-25,30,30,30,30,10.06K,0.00%
2013-06-26,31,31,31,31,0.66K,6.68%
2013-06-27,33,33,33,33,8.29K,6.23%
2013-06-28,35,35,35,35,1.38K,5.89%
2013-07-01,37,37,37,37,0.20K,5.56%
2013-07-02,39,38,39,38,0.21K,5.27%
2013-07-03,39,39,39,39,1.21K,0.00%
2013-07-12,39,39,39,39,0.08K,0.00%
2013-07-15,40,40,40,40,0.87K,2.49%
2013-07-17,40,40,40,40,0.57K,0.00%
2013-07-18,41,40,41,40,0.97K,0.00%
2013-07-25,41,41,41,41,7.06K,0.00%
2013-08-02,41,41,41,41,0.20K,0.00%
2013-08-08,41,41,41,41,0.20K,0.00%
2013-08-12,41,41,41,41,0.42K,0.00%
2013-08-13,41,41,41,41,0.23K,0.00%
2013-08-20,41,41,41,41,0.10K,0.00%
2013-08-21,42,41,42,41,1.17K,0.00%
2013-08-22,42,42,42,42,0.02K,0.00%
2013-08-23,43,43,43,43,0.33K,4.26%
2013-09-02,43,43,43,41,0.35K,0.00%
2013-09-06,45,45,45,45,0.27K,4.31%
2013-09-09,45,45,45,45,0.30K,0.00%
2013-09-10,45,45,45,45,0.28K,0.00%
2013-09-12,45,45,45,45,0.70K,0.00%
2013-09-13,46,46,46,46,0.41K,0.00%
2013-09-16,46,46,46,46,0.40K,1.29%
2013-09-17,47,47,47,47,0.20K,2.12%
2013-09-18,47,47,47,47,4.36K,0.00%
2013-09-19,49,49,49,49,3.04K,4.17%
2013-09-20,49,49,49,49,0.03K,0.00%
2013-09-23,53,49,53,49,0.44K,8.01%
2013-09-24,57,53,57,53,0.27K,7.40%
2013-09-25,57,57,57,57,0.28K,0.00%
2013-09-26,55,55,55,55,0.40K,-3.45%
2013-10-03,57,57,57,57,0.13K,3.76%
2013-10-07,57,57,57,57,0.07K,0.00%
2013-10-08,57,57,57,57,0.12K,0.00%
2013-10-09,58,58,58,58,0.30K,0.00%
2013-10-11,60,59,60,59,1.44K,4.09%
2013-10-15,61,61,61,61,0.20K,1.65%
2013-10-17,61,61,61,61,0.79K,0.00%
2013-10-18,62,61,62,61,1.01K,1.60%
2013-10-21,63,63,63,63,38.69K,1.59%
2013-10-22,65,65,65,65,0.10K,3.12%
2013-10-23,67,67,67,67,0.11K,3.03%
2013-10-24,67,67,67,67,0.15K,0.00%
2013-10-25,69,69,69,69,10.32K,2.79%
2013-10-28,75,71,75,71,0.45K,8.57%
2013-10-29,79,77,79,77,0.17K,5.26%
2013-10-30,85,79,85,79,0.86K,7.51%
2013-10-31,89,87,89,87,0.36K,4.65%
2013-11-01,89,89,89,89,0.20K,0.00%
2013-11-05,93,91,93,91,0.20K,4.44%
2013-11-06,93,93,93,93,33.26K,0.00%
2013-11-07,95,95,95,95,0.20K,2.13%
2013-11-08,95,95,95,95,0.27K,0.00%
2013-11-11,93,93,93,93,0.41K,-1.56%
2013-11-12,89,89,89,89,0.07K,-4.76%
2013-11-13,86,86,86,86,0.95K,-3.34%
2013-11-15,77,77,77,77,7.48K,-10.35%
2013-11-18,71,72,72,71,14.05K,-7.05%
2013-11-19,69,69,69,69,0.20K,-3.44%
