"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 03, 2021","7","7","7","7","0.02K","0.00%"
"Dec 01, 2021","7","7","7","7","0.23K","0.00%"
"Nov 29, 2021","7","7","7","7","2.33K","0.00%"
"Nov 26, 2021","7","7","7","7","0.92K","0.00%"
"Nov 24, 2021","7","7","7","7","4.06K","0.00%"
"Nov 23, 2021","7","7","7","7","2.74K","7.97%"
"Nov 18, 2021","7","7","7","7","0.20K","0.00%"
"Nov 17, 2021","7","7","7","7","0.01K","13.75%"
"Nov 15, 2021","6","6","6","6","2.67K","0.00%"
"Nov 12, 2021","6","6","6","6","0.47K","-9.85%"
"Nov 11, 2021","7","7","7","7","0.02K","0.00%"
"Nov 10, 2021","7","7","7","7","0.00K","0.00%"
"Nov 08, 2021","7","7","7","7","0.37K","16.67%"
"Nov 05, 2021","6","6","6","6","0.80K","0.00%"
"Nov 04, 2021","6","6","6","6","0.02K","0.00%"
"Nov 03, 2021","6","6","6","6","0.25K","0.00%"
"Oct 29, 2021","6","6","6","6","2.30K","0.00%"
"Oct 28, 2021","6","6","6","6","1.22K","0.00%"
"Oct 27, 2021","6","6","6","6","0.35K","0.00%"
"Oct 26, 2021","6","6","6","6","0.05K","0.00%"
"Oct 22, 2021","6","6","6","6","0.13K","0.00%"
"Oct 14, 2021","6","6","6","6","0.02K","0.00%"
"Oct 13, 2021","6","6","6","6","0.04K","0.00%"
"Oct 11, 2021","6","6","6","6","0.20K","0.00%"
"Oct 08, 2021","6","6","6","6","0.06K","0.00%"
"Oct 07, 2021","6","6","6","6","0.01K","0.00%"
"Oct 06, 2021","6","7","7","6","0.08K","-8.00%"
"Oct 05, 2021","7","7","7","7","0.08K","0.00%"
"Sep 29, 2021","7","7","7","7","0.02K","0.00%"
"Sep 28, 2021","7","7","7","7","0.09K","-100.00%"
"Sep 27, 2021","7,000,000","7,000,000","7,000,000","7,000,000","0.38K","14.43%"
"Sep 24, 2021","6,117,250","6,120,000","6,120,000","6,100,000","0.15K","-3.47%"
"Sep 22, 2021","6,337,120","6,344,990","6,344,990","6,199,000","0.10K","-0.06%"
"Sep 21, 2021","6,341,150","6,349,000","6,349,000","6,300,000","0.08K","-0.12%"
"Sep 17, 2021","6,349,000","6,349,000","6,349,000","6,349,000","0.00K","-0.02%"
"Sep 16, 2021","6,350,000","6,350,000","6,350,000","6,350,000","0.20K","0.00%"
"Sep 15, 2021","6,350,000","6,350,000","6,350,000","6,350,000","1.42K","-5.98%"
"Sep 14, 2021","6,754,090","7,000,000","7,000,000","6,200,000","0.92K","-0.47%"
"Sep 13, 2021","6,786,000","7,000,000","7,000,000","6,205,000","0.03K","-3.06%"
"Sep 10, 2021","7,000,000","7,000,000","7,000,000","7,000,000","0.05K","2.21%"
"Sep 08, 2021","6,848,500","6,400,000","6,998,000","6,400,000","0.32K","7.01%"
"Sep 07, 2021","6,400,000","6,400,000","6,400,000","6,400,000","0.40K","-8.57%"
"Sep 06, 2021","7,000,000","7,000,000","7,000,000","7,000,000","0.08K","-0.11%"
"Sep 03, 2021","7,007,940","8,000,000","8,000,000","7,000,000","0.50K","-12.40%"
"Sep 01, 2021","8,000,000","8,000,000","8,000,000","8,000,000","0.09K","0.00%"
"Aug 31, 2021","8,000,000","8,000,000","8,000,000","8,000,000","0.75K","-3.56%"
"Aug 30, 2021","8,295,000","8,295,000","8,295,000","8,295,000","0.23K","0.18%"
"Aug 27, 2021","8,279,930","8,300,000","8,300,000","8,279,720","9.15K","-10.37%"
"Aug 26, 2021","9,237,790","10,000,000","10,000,000","8,250,030","0.66K","10.10%"
"Aug 23, 2021","8,390,000","8,390,000","8,390,000","8,390,000","0.01K","19.86%"
