Date,Price,Open,High,Low,Vol.,Change %
2021-09-27,150640,155950,155950,150000,7.48K,-0.84%
2021-09-24,151910,155980,155980,150000,0.48K,0.82%
2021-09-23,150680,154000,154000,150000,0.64K,-3.44%
2021-09-22,156040,160000,160000,156000,0.34K,-3.24%
2021-09-21,161270,168550,168550,156000,0.79K,-4.32%
2021-09-20,168550,168550,168550,168550,0.02K,-2.29%
2021-09-17,172500,172750,172750,172500,1.32K,-0.22%
2021-09-16,172880,172900,172900,172750,0.28K,-2.39%
2021-09-15,177120,178970,178970,174990,0.21K,-0.87%
2021-09-14,178680,178970,178970,170000,0.72K,-0.17%
2021-09-13,178990,178990,178990,178990,0.44K,1.76%
2021-09-10,175900,178990,178990,175000,1.23K,2.83%
2021-09-09,171060,170000,178990,170000,60.09K,-4.68%
2021-09-08,179450,179990,179990,175000,1.15K,-0.26%
2021-09-06,179920,179990,179990,179000,0.08K,-0.01%
2021-09-03,179940,179000,179990,179000,0.10K,-0.03%
2021-09-02,179990,179990,179990,179990,0.03K,-0.01%
2021-09-01,180000,180000,180000,179990,0.19K,0.01%
2021-08-31,179990,179990,179990,179990,2.07K,0.00%
2021-08-30,179990,179990,179990,179990,7.73K,1.12%
2021-08-27,177990,177980,177990,177980,0.25K,-0.03%
2021-08-26,178040,179990,179990,177990,140.66K,0.01%
2021-08-25,178020,179990,179990,178000,2.24K,-0.71%
2021-08-24,179290,156000,179990,156000,0.21K,14.93%
2021-08-23,156000,156000,156000,156000,0.07K,0.01%
2021-08-20,155990,156000,156000,153500,10.53K,5.93%
2021-08-19,147260,150000,150000,145000,6.79K,1.56%
2021-08-18,145000,144990,145000,144990,2.62K,0.01%
2021-08-17,144990,144990,144990,144990,0.27K,0.00%
2021-08-16,144990,144990,144990,144990,0.09K,0.00%
2021-08-13,144990,144990,144990,144990,2.60K,3.56%
2021-08-12,140000,140000,140000,140000,0.51K,0.00%
2021-08-11,140000,140000,140000,140000,0.05K,11.82%
2021-08-10,125200,121000,140000,121000,2.18K,-13.66%
2021-08-09,145000,145000,145000,145000,28.02K,3.44%
2021-08-06,140180,140000,145000,140000,0.88K,-3.50%
2021-08-05,145270,149990,149990,145000,0.09K,0.19%
2021-08-03,145000,145000,145000,145000,0.78K,0.00%
2021-08-02,145000,145000,145000,145000,0.02K,2.38%
2021-07-30,141630,145000,145000,140000,0.10K,0.98%
2021-07-29,140250,140000,145000,140000,0.36K,-3.28%
2021-07-28,145000,145000,145000,145000,0.30K,0.00%
2021-07-27,145000,145000,145000,145000,146.10K,-0.74%
2021-07-26,146080,148000,148000,145000,0.57K,-2.61%
2021-07-23,150000,150000,150000,150000,0.05K,7.14%
2021-07-22,140000,140000,140000,140000,0.07K,0.00%
2021-07-21,140000,140000,140000,140000,1.50K,-9.67%
2021-07-20,154990,154990,154990,154990,0.15K,18.31%
2021-07-16,131000,131000,131000,131000,9.14K,-0.02%
2021-07-15,131020,131990,131990,131000,0.54K,1.56%
2021-07-14,129010,131000,131000,129000,62.23K,-2.26%
2021-07-12,131990,131990,131990,131990,0.20K,3.16%
2021-07-09,127950,127990,127990,127950,0.56K,0.15%
2021-07-07,127760,128000,128000,127000,6.50K,-5.27%
2021-07-02,134870,134990,134990,128000,0.72K,5.46%
2021-07-01,127890,128000,128000,127890,12.20K,-0.64%
2021-06-30,128710,128990,128990,128500,6.25K,0.02%
2021-06-29,128690,128980,128980,128500,0.25K,-0.22%
2021-06-25,128980,128980,128980,128980,2.59K,-0.01%
2021-06-22,128990,128990,128990,128990,0.03K,0.00%
2021-06-21,128990,128990,128990,128990,0.01K,0.78%
2021-06-18,127990,127990,127990,127990,0.21K,-0.78%
2021-06-17,128990,128990,128990,128990,0.11K,-0.01%
2021-06-16,129000,129000,129000,129000,0.03K,10.90%
2021-06-15,116320,120000,130000,110000,0.07K,-6.61%
2021-06-11,124550,124990,124990,123990,0.16K,1.32%
2021-06-10,122930,124000,124000,120000,0.17K,-1.66%
2021-06-09,125000,125000,125000,125000,0.05K,0.00%
2021-06-08,125000,125000,125000,125000,0.08K,0.00%
2021-06-04,125000,125000,125000,124990,6.02K,-0.04%
2021-06-03,125050,110000,128990,110000,3.94K,-7.37%
2021-06-02,135000,135000,135000,134990,106.23K,-1.34%
2021-06-01,136840,139990,139990,135000,4.22K,-2.17%
2021-05-31,139880,139990,139990,139000,0.79K,3.14%
2021-05-28,135620,139990,139990,135000,0.48K,-9.58%
2021-05-27,149990,149990,149990,149990,0.04K,-0.01%
2021-05-26,150000,150000,150000,149990,8.92K,-1.13%
2021-05-25,151720,155000,155000,150000,5.03K,-2.52%
2021-05-21,155650,152000,155990,152000,2.13K,1.00%
2021-05-20,154110,156000,156000,150000,1.49K,-1.21%
2021-05-19,155990,155990,155990,155990,0.26K,3.99%
2021-05-18,150000,149990,150000,149990,21.95K,4.61%
2021-05-17,143390,150000,150000,142000,0.57K,-4.41%
2021-05-14,150000,150000,150000,150000,4.32K,3.45%
2021-05-13,145000,145000,145000,145000,36.60K,0.00%
2021-05-12,145000,145000,145000,145000,0.12K,-0.77%
2021-05-11,146130,155000,155000,145000,1.42K,3.43%
2021-05-10,141280,145990,145990,140000,69.32K,-1.90%
2021-05-07,144010,145500,145500,144000,89.47K,3.71%
2021-05-06,138860,130000,144990,130000,41.76K,15.17%
2021-05-05,120570,115000,130000,115000,1.86K,5.71%
2021-05-04,114060,114000,115000,114000,10.89K,0.95%
2021-05-03,112990,113000,113000,112000,11.95K,0.40%
2021-04-30,112540,112000,113000,112000,3.36K,1.39%
2021-04-29,111000,111000,111000,111000,7.80M,1.34%
2021-04-28,109530,110000,111000,98000,106.37K,12.19%
2021-04-27,97630,97000,110000,97000,7.80M,3.87%
2021-04-26,93990,93500,94000,93500,2.04M,1.65%
2021-04-23,92460,90000,93500,90000,7.90K,20.31%
2021-04-22,76850,76000,91000,76000,18.32M,2.33%
2021-04-21,75100,75000,76000,75000,42.62K,5.74%
2021-04-20,71020,75000,75000,71000,104.05K,2.57%
2021-04-16,69240,69990,69990,69000,100.22K,12.86%
2021-04-15,61350,70500,70500,60000,2.75K,-11.93%
2021-04-14,69660,68500,70000,68500,13.70K,2.11%
2021-04-13,68220,68000,68500,68000,0.71K,2.85%
2021-04-12,66330,65000,68500,65000,89.34K,2.05%
2021-04-09,65000,65000,65000,65000,0.81K,6.96%
2021-04-08,60770,57000,65990,57000,59.06K,10.49%
2021-04-07,55000,55000,55000,55000,1.19K,10.00%
2021-04-05,50000,50000,50000,50000,5.72M,0.00%
2021-03-31,50000,50000,50000,50000,0.59K,10.40%
2021-03-30,45290,52000,52000,44000,15.62K,-14.22%
2021-03-26,52800,52800,52800,52800,0.70K,0.00%
2021-03-25,52800,52800,52800,52800,0.10K,20.00%
2021-03-24,44000,44000,44000,44000,42.01K,0.00%
2021-03-23,44000,44000,44000,44000,1.10K,0.00%
2021-03-22,44000,44000,44000,44000,15.70K,0.20%
