date,close,open,high,low,volume,change
2017-02-22,4,54,0,0,0.02K,0.00%
2017-06-29,3238,3238,3238,3238,14.66K,"74,677.14%"
2017-06-30,4483,3885,4508,3238,2.42K,38.46%
2017-07-04,4981,4981,4981,4981,1.32K,11.11%
2017-07-06,4981,5230,5230,4981,1.30K,0.00%
2017-07-07,4533,4981,4981,4533,0.70K,-9.00%
2017-07-11,4533,4533,4533,4533,0.04K,0.00%
2017-07-12,4533,4533,4533,4533,0.06K,0.00%
2017-07-13,4533,4533,4533,4533,0.23K,0.00%
2017-07-14,4533,4533,4732,4533,0.10K,0.00%
2017-07-17,4732,4732,4732,4732,0.44K,4.40%
2017-07-18,4732,4732,4732,4682,1.24K,0.00%
2017-07-19,4732,4782,4782,4732,0.43K,0.00%
2017-07-21,4732,4732,4732,4732,0.47K,0.00%
2017-07-25,4633,4633,4633,4633,0.20K,-2.11%
2017-07-28,5455,5455,5455,5455,0.20K,17.74%
2017-08-01,5430,5430,5430,5230,0.46K,-0.46%
2017-08-02,5429,5430,5430,5429,0.13K,0.00%
2017-08-03,5425,5425,5425,5425,0.82K,-0.08%
2017-08-04,6227,5424,6227,5424,2.30K,14.78%
2017-08-07,4982,4982,4982,4982,1.00K,-19.99%
2017-08-08,4982,5978,5978,4981,5.48K,0.00%
2017-08-09,5729,5977,5978,5729,2.48K,14.99%
2017-08-10,5230,5230,5230,5230,0.40K,-8.70%
2017-08-11,5380,5230,5380,5230,4.96K,2.86%
2017-08-15,6425,6425,6425,6425,0.01K,19.44%
2017-08-17,5729,6426,6426,5729,0.11K,-10.85%
2017-08-18,5978,6873,6873,5978,1.82K,4.35%
2017-08-21,5978,5978,6470,5978,0.70K,0.00%
2017-08-22,5753,5978,5978,5753,1.17K,-3.75%
2017-08-23,5479,5978,5978,5479,1.57K,-4.76%
2017-08-24,5479,5479,5479,5479,0.52K,0.00%
2017-08-25,5479,5479,5479,5477,1.08K,0.00%
2017-08-28,5280,5280,5430,5280,0.78K,-3.64%
2017-08-29,5380,5380,5380,5380,0.09K,1.89%
2017-08-30,5280,5330,5330,5280,2.37K,-1.85%
2017-08-31,5280,5205,5280,5181,0.16K,0.00%
2017-09-01,5280,5280,5280,5280,0.69K,0.00%
2017-09-04,5280,5280,5280,5280,14.94K,0.00%
2017-09-05,5479,5280,5479,5280,10.38K,3.77%
2017-09-06,5729,5579,5729,5479,6.66K,4.55%
2017-09-07,5729,5978,5978,5579,6.90K,0.00%
2017-09-08,5779,5773,5779,5773,2.62K,0.88%
2017-09-12,6476,5779,6476,5778,5.15K,12.06%
2017-09-13,7746,6974,7746,6974,7.62K,19.62%
2017-09-14,8966,8717,8966,8717,1.80K,15.76%
2017-09-15,9066,9215,9215,8961,2.84K,1.11%
2017-09-18,9714,9714,9714,9714,1.45K,7.14%
2017-09-19,10041,10212,10212,9714,3.81K,3.37%
2017-09-20,10959,10461,10959,9963,0.57K,9.14%
2017-09-21,10461,10884,10884,10461,0.19K,-4.55%
2017-09-25,10884,10461,10884,10461,0.68K,4.05%
2017-09-26,10959,10884,10959,10884,0.61K,0.69%
2017-09-27,12453,10958,12453,10954,3.29K,13.64%
2017-09-28,14022,12453,14197,12453,0.68K,12.60%
2017-09-29,14446,14944,14944,14446,0.70K,3.02%
2017-10-02,14944,14446,14994,14446,0.09K,3.45%
2017-10-03,15940,16438,16438,15442,0.13K,6.67%
2017-10-04,15940,15940,15940,14994,1.41K,0.00%
2017-10-05,16936,16936,16936,16936,0.16K,6.25%
2017-10-06,16887,16887,16887,16887,0.20K,-0.29%
2017-10-09,15960,15940,16438,15940,0.38K,-5.49%
2017-10-10,15472,15492,15492,15442,0.23K,-3.05%
2017-10-11,15691,15691,15691,15691,0.02K,1.41%
2017-10-13,15604,15890,15890,15442,0.33K,-0.56%
2017-10-16,15865,15865,15865,15865,0.20K,1.68%
2017-10-18,17075,16936,17435,16936,1.65K,7.63%
2017-10-19,18929,18929,18929,18929,0.20K,10.86%
2017-10-20,20300,19925,20921,19925,2.14K,7.24%
2017-10-23,20423,20423,20423,20423,0.38K,0.61%
2017-10-24,20269,20423,20423,19925,0.39K,-0.76%
2017-10-25,20236,20921,21420,19925,2.35K,-0.16%
2017-10-26,20174,20921,20921,20174,0.31K,-0.30%
2017-10-27,20423,20174,20423,19925,0.30K,1.23%
2017-10-30,20174,21917,21917,20174,3.33K,-1.22%
2017-10-31,19931,20174,20174,19626,0.41K,-1.20%
2017-11-01,20188,20423,20423,19925,6.04K,1.29%
2017-11-02,21172,20174,21420,20174,12.08K,4.87%
2017-11-03,22329,21420,22416,21420,1.10K,5.46%
2017-11-07,24148,24907,24907,23910,0.18K,8.15%
2017-11-08,21349,23910,23910,20174,4.38K,-11.59%
2017-11-09,19031,20174,20174,18431,4.03K,-10.86%
2017-11-10,18473,18431,19178,18431,0.49K,-2.93%
2017-11-13,21270,20174,22117,20174,0.22K,15.14%
2017-11-14,20081,23000,24999,20000,3.81K,-5.59%
2017-11-15,24351,22000,28800,22000,3.27K,21.26%
2017-11-16,29750,29750,29750,29750,0.82K,22.17%
2017-11-17,32786,32500,33499,32500,0.03K,10.21%
2017-11-20,33000,33000,33000,32999,0.88K,0.65%
2017-11-21,32983,32995,32995,32978,0.36K,-0.05%
2017-11-22,32990,32990,32990,32990,0.37K,0.02%
2017-11-23,35000,35000,35000,35000,0.05K,6.09%
2017-11-24,33189,34000,34000,32980,0.26K,-5.17%
2017-11-27,32982,32990,32990,32850,0.65K,-0.62%
2017-11-28,32848,32850,32850,32750,1.02K,-0.41%
2017-11-29,32850,32850,32850,32850,0.12K,0.01%
2017-11-30,32850,32850,32850,32850,1.67K,0.00%
2017-12-04,36579,33000,37000,33000,1.06K,11.35%
2017-12-05,36828,37000,37000,36000,1.45K,0.68%
2017-12-06,35824,37000,37000,35500,1.13K,-2.73%
2017-12-07,37101,37101,37101,37101,0.00K,3.56%
2017-12-12,38461,37000,39500,37000,1.35K,3.67%
2017-12-13,41329,39000,43000,39000,0.93K,7.46%
2017-12-14,43123,43500,43500,43000,0.93K,4.34%
2017-12-15,43019,43000,46750,40500,2.48K,-0.24%
2017-12-18,45000,45000,45000,45000,1.00K,4.60%
2017-12-19,44417,45500,45500,44000,0.31K,-1.30%
2017-12-20,39980,40000,40000,39000,0.20K,-9.99%
2017-12-22,41819,41900,42000,41400,1.58K,4.60%
2017-12-26,40000,40000,40000,40000,0.24K,-4.35%
2017-12-27,36178,40000,40000,36000,0.16K,-9.56%
2017-12-28,40000,40000,40000,40000,0.00K,10.56%
2017-12-29,40000,40000,40000,40000,0.05K,0.00%
2018-01-02,40000,40000,40000,40000,0.00K,0.00%
2018-01-03,39952,39950,40000,39950,0.06K,-0.12%
2018-01-04,38000,38000,38000,38000,1.00K,-4.89%
2018-01-05,39000,39000,39000,39000,0.03K,2.63%
2018-01-08,38599,37000,40000,37000,3.51K,-1.03%
2018-01-09,42000,42000,42000,42000,0.03K,8.81%
2018-01-10,42000,42000,42000,42000,0.01K,0.00%
2018-01-11,42000,42000,42000,42000,0.01K,0.00%
2018-01-12,43951,42000,50000,42000,0.16K,4.65%
2018-01-15,55000,55000,55000,55000,0.01K,25.14%
2018-01-16,64985,65000,65000,64500,0.57K,18.15%
2018-01-17,65043,70000,70000,60000,1.25K,0.09%
2018-01-18,60157,60000,66000,60000,1.08K,-7.51%
2018-01-19,67714,67000,68999,66000,0.93K,12.56%
2018-01-22,69591,68000,70001,68000,0.26K,2.77%
2018-01-23,70000,70000,70000,70000,0.10K,0.59%
2018-01-24,75000,75000,75000,75000,1.31K,7.14%
2018-01-25,75830,75000,85000,75000,0.72K,1.11%
2018-01-26,100000,100000,100000,100000,0.61K,31.87%
2018-01-29,115000,115000,115000,115000,0.77K,15.00%
2018-01-30,114183,115000,115000,110000,0.26K,-0.71%
2018-01-31,105000,105000,105000,105000,0.01K,-8.04%
2018-02-01,88456,100000,100000,84500,0.06K,-15.76%
2018-02-02,75586,75000,84000,75000,0.42K,-14.55%
2018-02-05,77228,75300,80000,75000,2.42K,2.17%
2018-02-06,88182,85000,95000,85000,1.10K,14.18%
2018-02-07,100000,100000,105000,100000,0.63K,13.40%
2018-02-08,100101,105000,105000,100000,0.50K,0.10%
2018-02-09,100000,100000,100000,100000,0.16K,-0.10%
2018-02-14,96049,100000,100000,96000,0.41K,-3.95%
2018-02-15,85208,95000,95000,85000,2.10K,-11.29%
2018-02-16,101992,101995,101995,101990,0.03K,19.70%
2018-02-19,100002,100000,101000,100000,1.28K,-1.95%
2018-02-20,109154,98000,140000,98000,15.14K,9.15%
2018-02-21,150059,150000,165000,150000,5.62K,37.47%
2018-02-22,157871,165000,165000,155000,0.25K,5.21%
2018-02-23,160000,160000,160000,160000,0.05K,1.35%
2018-02-26,163873,160000,170000,150000,9.70K,2.42%
2018-02-27,179526,180000,180000,175000,1.90K,9.55%
2018-02-28,175000,175000,175000,175000,2.37K,-2.52%
2018-03-01,172808,175000,175000,172792,5.54K,-1.25%
2018-03-02,170000,170000,170000,170000,0.48K,-1.62%
2018-03-05,170000,170000,170000,170000,0.60K,0.00%
2018-03-06,189083,198000,198000,180000,0.16K,11.23%
2018-03-07,196837,195000,200000,195000,0.83K,4.10%
2018-03-08,210336,201000,215000,201000,0.50K,6.86%
2018-03-09,237844,216000,237990,216000,3.32K,13.08%
2018-03-12,282184,257990,285000,257990,0.10K,18.64%
2018-03-13,294439,300000,300000,275000,0.56K,4.34%
2018-03-14,295576,299998,299998,276000,2.12K,0.39%
2018-03-15,285209,299000,299000,285000,11.59K,-3.51%
2018-03-16,290623,290000,310150,290000,0.28K,1.90%
2018-03-20,300772,305000,305000,299900,0.11K,3.49%
2018-03-21,250455,295000,295000,250000,2.04K,-16.73%
2018-03-22,256087,260000,260000,250000,1.35K,2.25%
2018-03-23,260000,260000,260000,260000,0.26K,1.53%
2018-03-26,259265,260000,260000,250000,0.28K,-0.28%
2018-03-27,259912,260000,260000,250000,0.68K,0.25%
2018-03-28,260000,260000,260000,260000,0.10K,0.03%
2018-04-02,245912,260000,260000,220000,0.91K,-5.42%
2018-04-03,230244,240000,240000,230000,8.66K,-6.37%
2018-04-04,251788,230000,255000,230000,1.68K,9.36%
2018-04-05,262832,280000,300000,255000,0.87K,4.39%
2018-04-06,297552,235000,300000,235000,3.82K,13.21%
2018-04-09,356726,355000,360000,350000,0.22K,19.89%
2018-04-10,409425,360000,518000,360000,4.79K,14.77%
2018-04-11,620984,621000,630000,620000,3.73K,51.67%
2018-04-12,762973,700000,800000,700000,0.26K,22.87%
2018-04-13,1013130,800000,1150000,800000,1.05K,32.79%
2018-04-16,1229000,1250000,1250000,1150000,2.32K,21.31%
2018-04-17,1241000,1250000,1260000,1002000,0.55K,0.98%
2018-04-18,1180000,1150000,1205000,1100000,0.66K,-4.92%
2018-04-20,1212000,1250000,1250000,1100000,0.98K,2.71%
2018-04-23,1250000,1250000,1250000,1250000,0.12K,3.14%
2018-04-24,1091000,1250000,1250000,1040000,18.89K,-12.72%
2018-04-25,900000,1040000,1040000,867000,0.42K,-17.51%
2018-04-26,801000,867000,1000000,800000,21.05K,-11.00%
2018-04-27,994000,1000000,1000000,980000,0.35K,24.09%
2018-04-30,1052000,1000000,1150000,1000000,0.52K,5.84%
2018-05-02,1091000,1150000,1150000,1000000,0.09K,3.71%
2018-05-03,918000,1000000,1090000,900000,1.50K,-15.86%
2018-05-04,848000,900000,900000,800000,5.52K,-7.63%
2018-05-07,817000,849990,849990,800000,0.71K,-3.66%
2018-05-08,780000,799990,799990,760000,0.20K,-4.53%
2018-05-09,751000,760000,760000,700000,1.10K,-3.72%
2018-05-10,700000,720000,720000,700000,3.51K,-6.79%
2018-05-11,700000,700000,800000,700000,3.42K,0.00%
2018-05-15,611000,700000,700000,600000,15.56K,-12.71%
2018-05-16,745000,700000,800000,700000,1.03K,21.93%
