Date,Price,Open,High,Low,Vol.,Change %
2021-09-29,1,1,1,1,0.10K,0.00%
2021-09-28,1,1,1,1,0.03K,-100.00%
2021-09-27,698220,679000,700000,670000,0.11K,3.84%
2021-09-24,672390,670000,679000,650070,1.00K,-1.10%
2021-09-23,679900,675000,680000,675000,0.05K,-0.47%
2021-09-22,683100,689950,689950,670000,0.17K,0.46%
2021-09-21,680000,680000,680000,679990,0.42K,0.00%
2021-09-20,680000,680000,680000,680000,0.04K,-1.38%
2021-09-17,689540,689950,689950,680000,0.24K,-0.06%
2021-09-16,689980,689990,689990,689960,0.25K,-0.62%
2021-09-15,694310,695000,695000,690000,0.20K,-0.10%
2021-09-14,695000,695000,695000,695000,0.04K,0.00%
2021-09-13,695000,695000,695000,695000,0.97K,2.96%
2021-09-10,675000,675000,675010,675000,0.35K,0.74%
2021-09-09,670070,675000,675000,660000,20.27K,-0.82%
2021-09-08,675610,699000,699000,675000,0.36K,-2.00%
2021-09-07,689420,700000,700000,680000,0.19K,-1.51%
2021-09-06,700000,700000,700000,700000,0.01K,-0.26%
2021-09-03,701850,747000,747000,700000,0.23K,-6.03%
2021-09-02,746900,747000,747000,746000,0.01K,8.22%
2021-09-01,690200,675000,691000,675000,0.10K,0.03%
2021-08-30,690000,690000,690000,690000,0.64K,-0.06%
2021-08-27,690380,690000,694990,690000,0.28K,-0.53%
2021-08-26,694060,694000,694990,694000,20.05K,2.66%
2021-08-25,676050,700000,700000,630000,0.15K,-4.69%
2021-08-24,709350,709990,709990,708970,0.29K,-0.09%
2021-08-23,709990,709990,709990,709990,0.14K,3.94%
2021-08-20,683100,687000,690000,680000,1.36K,-0.01%
2021-08-19,683200,690000,690000,680000,0.03K,-0.88%
2021-08-17,689300,705000,705000,660000,0.15K,-0.82%
2021-08-16,695000,695000,695000,695000,0.03K,0.69%
2021-08-13,690220,690000,693990,690000,0.04K,0.03%
2021-08-12,690000,690000,690000,690000,0.97K,-0.01%
2021-08-11,690040,690000,693990,690000,0.60K,-0.52%
2021-08-10,693670,694000,694000,690000,1.64K,-0.85%
2021-08-09,699610,701000,701000,690000,0.23K,-0.20%
2021-08-06,701000,701000,701000,701000,0.04K,4.52%
2021-08-05,670680,670000,680000,670000,1.85K,1.87%
2021-08-04,658350,670000,670000,650000,0.83K,-1.74%
2021-08-03,670000,670000,670000,670000,0.50K,0.00%
2021-08-02,670000,670000,670000,670000,0.25K,0.00%
2021-07-30,670000,670000,670000,669990,0.09K,0.00%
2021-07-29,670000,670000,670000,670000,7.96K,10.27%
2021-07-28,607580,650000,650000,600000,3.69K,-10.65%
2021-07-27,680000,680000,680000,680000,20.12K,0.00%
2021-07-26,680000,680000,680000,680000,2.06K,-1.45%
2021-07-23,690000,690000,690000,690000,0.30K,6.15%
2021-07-22,650000,650000,650000,650000,0.52K,0.00%
2021-07-21,650000,650000,650000,650000,0.22K,-0.50%
2021-07-20,653250,699000,699000,650000,1.51K,-6.64%
2021-07-19,699700,700000,700000,699000,0.25K,0.01%
2021-07-16,699660,700000,700000,699000,0.04K,3.47%
2021-07-15,676210,700000,719000,650000,0.56K,12.46%
2021-07-14,601290,624000,624000,600000,0.22K,7.29%
2021-07-13,560430,600000,600000,560000,4.46K,-10.19%
2021-07-12,624000,624000,624000,624000,1.09K,3.98%
2021-07-09,600100,599990,624000,593000,0.60K,-0.65%
2021-07-08,604050,620000,620000,600000,0.41K,-3.35%
2021-07-06,625000,651000,651000,620000,0.29K,1.60%
2021-07-02,615160,625000,625000,600000,0.13K,9.85%
2021-07-01,560000,560000,560000,560000,0.20K,-0.19%
2021-06-30,561050,623000,623000,551000,0.66K,-6.50%
2021-06-29,600050,600000,622000,600000,3.52K,10.56%
2021-06-25,542740,580000,623000,520000,2.01K,26.06%
2021-06-22,430530,515000,520000,420000,8.69K,-14.52%
2021-06-21,503640,515000,515000,500000,0.69K,-5.42%
2021-06-18,532490,560000,565000,530000,4.50K,-4.16%
2021-06-17,555590,550000,560000,550000,0.36K,9.10%
2021-06-16,509240,510000,550000,500000,7.90K,-13.40%
2021-06-15,588010,620000,620000,580000,0.49K,-13.53%
2021-06-11,680000,680000,680000,680000,5.00K,-1.31%
2021-06-10,689000,689000,689000,689000,10.36K,0.15%
2021-06-09,688000,688000,688000,688000,0.01K,-1.71%
2021-06-08,700000,700000,700000,700000,0.61K,0.00%
2021-06-07,700000,700000,700000,700000,0.02K,4.44%
2021-06-04,670220,670000,720000,670000,0.90K,0.03%
2021-06-03,670000,670000,670000,670000,0.00K,-0.02%
2021-06-02,670130,709990,709990,670000,19.87K,-5.89%
2021-06-01,712100,713000,713000,710000,1.16K,-0.39%
2021-05-31,714920,715000,719000,713000,0.32K,-0.01%
2021-05-28,715000,715000,715000,715000,1.60K,-0.61%
2021-05-27,719420,720000,720000,715000,0.04K,-2.75%
2021-05-26,739750,746000,746000,721000,3.31K,-0.76%
2021-05-25,745440,750000,799000,744450,1.01K,-0.73%
2021-05-21,750890,798900,798900,750000,0.83K,1.16%
2021-05-20,742280,720000,750000,720000,0.20K,0.21%
2021-05-18,740690,765000,779990,720000,0.55K,-3.61%
2021-05-17,768450,760000,800000,760000,0.14K,11.31%
2021-05-14,690360,694900,694900,690000,0.14K,15.24%
2021-05-12,599060,589000,605000,589000,0.17K,1.65%
2021-05-11,589310,589000,590000,589000,516.61K,0.34%
2021-05-10,587340,550000,589000,550000,0.71K,17.25%
2021-05-07,500920,500000,599000,500000,13.92K,-0.88%
2021-05-06,505360,600000,600000,500000,12.69K,-16.75%
2021-05-05,607040,695000,695000,600000,3.03K,-7.60%
2021-05-04,656970,694500,694500,650000,0.40K,-5.57%
2021-05-03,695740,700000,700000,695000,0.18K,2.31%
2021-04-30,680000,680000,680000,680000,0.40K,0.00%
2021-04-29,680000,680000,680000,680000,0.47K,2.19%
2021-04-28,665440,668000,668000,650000,0.03K,-0.59%
2021-04-27,669390,679000,679000,665000,1.03K,-2.32%
2021-04-26,685310,690000,690000,685000,0.02K,-0.68%
2021-04-23,690000,690000,690000,690000,0.50K,17.68%
2021-04-22,586320,590000,590000,580000,1.06K,-1.46%
2021-04-21,595000,595000,595000,590000,5.08K,-0.27%
2021-04-20,596610,600000,600000,595000,1.02K,-0.52%
2021-04-16,599740,600000,600000,595500,0.64K,5.27%
2021-04-15,569700,600000,600000,550000,9.99K,-0.48%
2021-04-14,572470,510000,575000,510000,5.92K,12.25%
2021-04-13,510000,510000,510000,509990,1.54K,2.00%
2021-04-12,499980,499990,500000,499000,75.50K,11.11%
2021-04-09,449990,449990,450000,448000,1.12K,5.62%
2021-04-08,426040,419990,460000,400000,4.26K,4.77%
2021-04-07,406630,400000,420000,400000,1.08K,1.66%
2021-04-06,400000,399990,400000,399980,0.63K,27.21%
2021-04-05,314430,310000,359000,310000,1.43K,4.80%
2021-03-31,300020,300000,310000,300000,12.53K,1.02%
2021-03-30,296990,281000,300000,281000,1.20K,5.57%
2021-03-29,281320,330000,330000,281000,1.54K,-7.39%
2021-03-26,303770,310000,310000,281000,0.54K,1.26%
2021-03-25,300000,300000,300000,300000,0.11K,7.14%
2021-03-24,280000,280000,280000,280000,0.11K,-1.41%
2021-03-23,284010,287000,300000,280000,4.34K,13.58%
2021-03-22,250050,250000,286990,250000,3.65K,8.08%
2021-03-18,231360,230000,245000,230000,1.10K,5.71%
2021-03-17,218870,214000,220010,214000,6.90K,5.27%
